"","label","levels","uv","vacc"
"98","Q_DIAG_SICKLE_CELL","0","3383860 (99.9)","3383257 (99.9)"
"99","","1","2081 (0.1)","2684 (0.1)"
"100","Q_DIAG_STROKE","0","3278820 (96.8)","3277155 (96.8)"
"101","","1","107121 (3.2)","108786 (3.2)"
"102","Q_DIAG_VTE","0","3317090 (98.0)","3318659 (98.0)"
"103","","1","68851 (2.0)","67282 (2.0)"
"104","Q_HOME_CAT","0","3377327 (99.7)","3376991 (99.7)"
"105","","1","4515 (0.1)","6652 (0.2)"
"106","","2","4099 (0.1)","2298 (0.1)"
"107","Q_LEARN_CAT","0","3335542 (98.5)","3332142 (98.4)"
"108","","1","49885 (1.5)","52302 (1.5)"
"109","","2","514 (0.0)","1497 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","3245831 (95.9)","3238823 (95.7)"
"111","","3","131860 (3.9)","137605 (4.1)"
"112","","4","5203 (0.2)","5349 (0.2)"
"113","","5","3047 (0.1)","4164 (0.1)"
