"","label","levels","v1","v2"
"70","Q_DIAG_COPD","0","2149981 (94.9)","2162308 (95.4)"
"71","","1","116542 (5.1)","104215 (4.6)"
"72","Q_DIAG_DEMENTIA","0","2244456 (99.0)","2248666 (99.2)"
"73","","1","22067 (1.0)","17857 (0.8)"
"74","Q_DIAG_DIABETES_1","0","2250173 (99.3)","2249522 (99.2)"
"75","","1","16350 (0.7)","17001 (0.8)"
"76","Q_DIAG_DIABETES_2","0","2047296 (90.3)","2053698 (90.6)"
"77","","1","219227 (9.7)","212825 (9.4)"
"78","Q_DIAG_EPILEPSY","0","2216758 (97.8)","2220420 (98.0)"
"79","","1","49765 (2.2)","46103 (2.0)"
"80","Q_DIAG_FRACTURE","0","2142511 (94.5)","2149797 (94.8)"
"81","","1","124012 (5.5)","116726 (5.2)"
"82","Q_DIAG_NEURO","0","2252346 (99.4)","2252330 (99.4)"
"83","","1","14177 (0.6)","14193 (0.6)"
"84","Q_DIAG_PARKINSONS","0","2258536 (99.6)","2259458 (99.7)"
"85","","1","7987 (0.4)","7065 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","2259019 (99.7)","2259905 (99.7)"
"87","","1","7504 (0.3)","6618 (0.3)"
"88","Q_DIAG_PULM_RARE","0","2247296 (99.2)","2248360 (99.2)"
"89","","1","19227 (0.8)","18163 (0.8)"
"90","Q_DIAG_PVD","0","2229098 (98.3)","2231771 (98.5)"
"91","","1","37425 (1.7)","34752 (1.5)"
"92","Q_DIAG_RA_SLE","0","2228131 (98.3)","2229259 (98.4)"
"93","","1","38392 (1.7)","37264 (1.6)"
"94","Q_DIAG_RESP_CANCER","0","2257824 (99.6)","2258412 (99.6)"
"95","","1","8699 (0.4)","8111 (0.4)"
"96","Q_DIAG_SEV_MENT_ILL","0","1902227 (83.9)","1938444 (85.5)"
"97","","1","364296 (16.1)","328079 (14.5)"
"98","Q_DIAG_SICKLE_CELL","0","2264385 (99.9)","2264401 (99.9)"
"99","","1","2138 (0.1)","2122 (0.1)"
"100","Q_DIAG_STROKE","0","2164936 (95.5)","2171893 (95.8)"
"101","","1","101587 (4.5)","94630 (4.2)"
"102","Q_DIAG_VTE","0","2203862 (97.2)","2209238 (97.5)"
"103","","1","62661 (2.8)","57285 (2.5)"
"104","Q_HOME_CAT","0","2260352 (99.7)","2261501 (99.8)"
"105","","1","4126 (0.2)","3732 (0.2)"
"106","","2","2045 (0.1)","1290 (0.1)"
"107","Q_LEARN_CAT","0","2228689 (98.3)","2230659 (98.4)"
"108","","1","36887 (1.6)","34929 (1.5)"
"109","","2","947 (0.0)","935 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","2134295 (94.2)","2139114 (94.4)"
"111","","3","124043 (5.5)","119742 (5.3)"
"112","","4","4666 (0.2)","4423 (0.2)"
"113","","5","3519 (0.2)","3244 (0.1)"
