"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"n_tests_gp","0","1119730 (83.1%)","684102 (83.3%)","966725 (83.2%)","225055 (79.3%)","567033 (73.8%)"
"n_tests_gp","1","169390 (12.6%)","105293 (12.8%)","130619 (11.2%)","42749 (15.1%)","104479 (13.6%)"
"n_tests_gp","2","33478 (2.5%)","19642 (2.4%)","32415 (2.8%)","8833 (3.1%)","28270 (3.7%)"
"n_tests_gp","3","8432 (0.6%)","4887 (0.6%)","11480 (1.0%)","2231 (0.8%)","10305 (1.3%)"
"n_tests_gp","4-9","9400 (0.7%)","4601 (0.6%)","14823 (1.3%)","2539 (0.9%)","21087 (2.7%)"
"n_tests_gp","10+","7424 (0.6%)","2324 (0.3%)","5294 (0.5%)","2307 (0.8%)","37327 (4.9%)"
"test_before_dec8","0-6d","1322 (0.1%)","778 (0.1%)","836 (0.1%)","326 (0.1%)","1159 (0.2%)"
"test_before_dec8","1m+","11794 (0.9%)","8419 (1.0%)","9698 (0.8%)","3246 (1.1%)","15123 (2.0%)"
"test_before_dec8","2w","1263 (0.1%)","806 (0.1%)","783 (0.1%)","309 (0.1%)","1097 (0.1%)"
"test_before_dec8","3w","1569 (0.1%)","908 (0.1%)","967 (0.1%)","390 (0.1%)","1228 (0.2%)"
"test_before_dec8","4w","1528 (0.1%)","1097 (0.1%)","1027 (0.1%)","402 (0.1%)","1429 (0.2%)"
"test_before_dec8","after-8dec","47401 (3.5%)","24680 (3.0%)","18725 (1.6%)","10011 (3.5%)","15985 (2.1%)"
"test_before_dec8","no pos test","1282978 (95.2%)","784161 (95.5%)","1129320 (97.2%)","269030 (94.8%)","732480 (95.3%)"
"ave_hh_age","mean.sd","34.2 (14.2)","42.8 (13.7)","59.4 (18)","34.8 (12.4)","53.5 (18.1)"
"ave_hh_age","median.iqr","31 (16.3333333333333)","42.225 (21)","61.5 (26.5)","33 (17.5)","57.5 (30.25)"
"n_hh_gp","1","433302 (32.1%)","227165 (27.7%)","442471 (38.1%)","69347 (24.4%)","247096 (32.2%)"
"n_hh_gp","2","303477 (22.5%)","218244 (26.6%)","433683 (37.3%)","63727 (22.5%)","287015 (37.3%)"
"n_hh_gp","3-5","535852 (39.8%)","352012 (42.9%)","267453 (23.0%)","139448 (49.2%)","219658 (28.6%)"
"n_hh_gp","6-10","64046 (4.8%)","22359 (2.7%)","16807 (1.4%)","10648 (3.8%)","13781 (1.8%)"
"n_hh_gp","11-30","5412 (0.4%)","754 (0.1%)","822 (0.1%)","405 (0.1%)","734 (0.1%)"
"n_hh_gp","31-100","1439 (0.1%)","153 (0.0%)","85 (0.0%)","44 (0.0%)","200 (0.0%)"
"n_hh_gp","101+","4326 (0.3%)","162 (0.0%)","35 (0.0%)","95 (0.0%)","17 (0.0%)"
"care_home_elderly","mean.sd","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"care_home_elderly","median.iqr","0 (0)","0 (0)","0 (0)","0 (0)","0 (0)"
"bmi_cat","Underweight","20522 (1.5%)","5552 (0.7%)","13454 (1.2%)","2406 (0.8%)","6261 (0.8%)"
"bmi_cat","Normal weight","179738 (13.3%)","80195 (9.8%)","158330 (13.6%)","35602 (12.5%)","97077 (12.6%)"
"bmi_cat","Overweight","1044355 (77.5%)","610119 (74.3%)","685573 (59.0%)","212021 (74.7%)","481805 (62.7%)"
"bmi_cat","Obese","103240 (7.7%)","124983 (15.2%)","303999 (26.2%)","33685 (11.9%)","183358 (23.9%)"
"EAVE_Smoke","Ex Smoker","90386 (6.7%)","97876 (11.9%)","227712 (19.6%)","29097 (10.3%)","130477 (17.0%)"
"EAVE_Smoke","Non Smoker","506670 (37.6%)","315740 (38.5%)","445426 (38.4%)","117239 (41.3%)","307153 (40.0%)"
"EAVE_Smoke","Smoker","206088 (15.3%)","188349 (22.9%)","292490 (25.2%)","52158 (18.4%)","180660 (23.5%)"
"EAVE_Smoke","Unknown","544710 (40.4%)","218884 (26.7%)","195728 (16.9%)","85220 (30.0%)","150211 (19.5%)"
"Q_DIAG_AF","0","1342316 (99.6%)","815834 (99.4%)","1093054 (94.1%)","282817 (99.7%)","742556 (96.6%)"
"Q_DIAG_AF","1","5539 (0.4%)","5015 (0.6%)","68302 (5.9%)","897 (0.3%)","25945 (3.4%)"
"Q_DIAG_ASTHMA","0","1185137 (87.9%)","717714 (87.4%)","992070 (85.4%)","244931 (86.3%)","667117 (86.8%)"
"Q_DIAG_ASTHMA","1","162718 (12.1%)","103135 (12.6%)","169286 (14.6%)","38783 (13.7%)","101384 (13.2%)"
"Q_DIAG_BLOOD_CANCER","0","1346303 (99.9%)","819506 (99.8%)","1147858 (98.8%)","283454 (99.9%)","763327 (99.3%)"
"Q_DIAG_BLOOD_CANCER","1","1551 (0.1%)","1343 (0.2%)","13498 (1.2%)","260 (0.1%)","5174 (0.7%)"
"Q_DIAG_CCF","0","1344795 (99.8%)","817975 (99.6%)","1130823 (97.4%)","283213 (99.8%)","757699 (98.6%)"
"Q_DIAG_CCF","1","3060 (0.2%)","2874 (0.4%)","30533 (2.6%)","501 (0.2%)","10802 (1.4%)"
"Q_DIAG_CEREBRALPALSY","0","1347335 (100.0%)","820076 (99.9%)","1157726 (99.7%)","283595 (100.0%)","767551 (99.9%)"
"Q_DIAG_CEREBRALPALSY","1","519 (0.0%)","773 (0.1%)","3630 (0.3%)","119 (0.0%)","950 (0.1%)"
"Q_DIAG_CHD","0","1337456 (99.2%)","810174 (98.7%)","1038223 (89.4%)","281768 (99.3%)","713024 (92.8%)"
"Q_DIAG_CHD","1","10398 (0.8%)","10675 (1.3%)","123133 (10.6%)","1946 (0.7%)","55477 (7.2%)"
"Q_DIAG_CIRRHOSIS","0","1345323 (99.8%)","817537 (99.6%)","1149850 (99.0%)","283073 (99.8%)","762772 (99.3%)"
"Q_DIAG_CIRRHOSIS","1","2532 (0.2%)","3312 (0.4%)","11506 (1.0%)","641 (0.2%)","5729 (0.7%)"
"Q_DIAG_CONGEN_HD","0","1344723 (99.8%)","817769 (99.6%)","1139887 (98.2%)","283151 (99.8%)","758752 (98.7%)"
"Q_DIAG_CONGEN_HD","1","3132 (0.2%)","3080 (0.4%)","21469 (1.8%)","563 (0.2%)","9749 (1.3%)"
"Q_DIAG_COPD","0","1339365 (99.4%)","812485 (99.0%)","1078584 (92.9%)","282094 (99.4%)","736318 (95.8%)"
"Q_DIAG_COPD","1","8490 (0.6%)","8364 (1.0%)","82772 (7.1%)","1620 (0.6%)","32183 (4.2%)"
"Q_DIAG_DEMENTIA","0","1345692 (99.8%)","819419 (99.8%)","1145181 (98.6%)","283135 (99.8%)","761670 (99.1%)"
"Q_DIAG_DEMENTIA","1","2162 (0.2%)","1430 (0.2%)","16175 (1.4%)","579 (0.2%)","6831 (0.9%)"
"Q_DIAG_DIABETES_1","0","1346095 (99.9%)","818434 (99.7%)","1148780 (98.9%)","283378 (99.9%)","763194 (99.3%)"
"Q_DIAG_DIABETES_1","1","1760 (0.1%)","2415 (0.3%)","12576 (1.1%)","336 (0.1%)","5307 (0.7%)"
"Q_DIAG_DIABETES_2","0","1333528 (98.9%)","803901 (97.9%)","1009340 (86.9%)","280782 (99.0%)","694012 (90.3%)"
"Q_DIAG_DIABETES_2","1","14327 (1.1%)","16948 (2.1%)","152016 (13.1%)","2932 (1.0%)","74489 (9.7%)"
"Q_DIAG_EPILEPSY","0","1340221 (99.4%)","805129 (98.1%)","1133085 (97.6%)","282558 (99.6%)","756937 (98.5%)"
"Q_DIAG_EPILEPSY","1","7634 (0.6%)","15720 (1.9%)","28271 (2.4%)","1156 (0.4%)","11564 (1.5%)"
"Q_DIAG_FRACTURE","0","1307494 (97.0%)","790892 (96.4%)","1087050 (93.6%)","274290 (96.7%)","731591 (95.2%)"
"Q_DIAG_FRACTURE","1","40360 (3.0%)","29957 (3.6%)","74306 (6.4%)","9424 (3.3%)","36910 (4.8%)"
"Q_DIAG_NEURO","0","1346699 (99.9%)","819252 (99.8%)","1150256 (99.0%)","283515 (99.9%)","764346 (99.5%)"
"Q_DIAG_NEURO","1","1155 (0.1%)","1597 (0.2%)","11100 (1.0%)","199 (0.1%)","4155 (0.5%)"
"Q_DIAG_PARKINSONS","0","1347343 (100.0%)","820425 (99.9%)","1155688 (99.5%)","283618 (100.0%)","766179 (99.7%)"
"Q_DIAG_PARKINSONS","1","511 (0.0%)","424 (0.1%)","5668 (0.5%)","96 (0.0%)","2322 (0.3%)"
"Q_DIAG_PULM_HYPER","0","1347197 (100.0%)","820346 (99.9%)","1155319 (99.5%)","283640 (100.0%)","766964 (99.8%)"
"Q_DIAG_PULM_HYPER","1","658 (0.0%)","503 (0.1%)","6037 (0.5%)","74 (0.0%)","1537 (0.2%)"
"Q_DIAG_PULM_RARE","0","1346616 (99.9%)","819727 (99.9%)","1146346 (98.7%)","283518 (99.9%)","763015 (99.3%)"
"Q_DIAG_PULM_RARE","1","1239 (0.1%)","1122 (0.1%)","15010 (1.3%)","196 (0.1%)","5486 (0.7%)"
"Q_DIAG_PVD","0","1344934 (99.8%)","817192 (99.6%)","1135923 (97.8%)","283111 (99.8%)","757229 (98.5%)"
"Q_DIAG_PVD","1","2921 (0.2%)","3657 (0.4%)","25433 (2.2%)","603 (0.2%)","11272 (1.5%)"
"Q_DIAG_RA_SLE","0","1344917 (99.8%)","815687 (99.4%)","1135026 (97.7%)","283194 (99.8%)","756274 (98.4%)"
"Q_DIAG_RA_SLE","1","2938 (0.2%)","5162 (0.6%)","26330 (2.3%)","520 (0.2%)","12227 (1.6%)"
"Q_DIAG_RESP_CANCER","0","1346820 (99.9%)","819743 (99.9%)","1155113 (99.5%)","283533 (99.9%)","766189 (99.7%)"
"Q_DIAG_RESP_CANCER","1","1035 (0.1%)","1106 (0.1%)","6243 (0.5%)","181 (0.1%)","2312 (0.3%)"
"Q_DIAG_SEV_MENT_ILL","0","1240545 (92.0%)","703614 (85.7%)","986150 (84.9%)","252868 (89.1%)","659524 (85.8%)"
"Q_DIAG_SEV_MENT_ILL","1","107310 (8.0%)","117235 (14.3%)","175206 (15.1%)","30846 (10.9%)","108977 (14.2%)"
"Q_DIAG_SICKLE_CELL","0","1347537 (100.0%)","820481 (100.0%)","1159788 (99.9%)","283654 (100.0%)","767770 (99.9%)"
"Q_DIAG_SICKLE_CELL","1","317 (0.0%)","368 (0.0%)","1568 (0.1%)","60 (0.0%)","731 (0.1%)"
"Q_DIAG_STROKE","0","1341126 (99.5%)","814048 (99.2%)","1087713 (93.7%)","282428 (99.5%)","738371 (96.1%)"
"Q_DIAG_STROKE","1","6729 (0.5%)","6801 (0.8%)","73643 (6.3%)","1286 (0.5%)","30130 (3.9%)"
"Q_DIAG_VTE","0","1341041 (99.5%)","810425 (98.7%)","1120476 (96.5%)","282607 (99.6%)","751922 (97.8%)"
"Q_DIAG_VTE","1","6814 (0.5%)","10424 (1.3%)","40880 (3.5%)","1107 (0.4%)","16579 (2.2%)"
"Q_HOME_CAT","0","1345117 (99.8%)","819467 (99.8%)","1158595 (99.8%)","283111 (99.8%)","764043 (99.4%)"
"Q_HOME_CAT","1","877 (0.1%)","525 (0.1%)","2012 (0.2%)","401 (0.1%)","4175 (0.5%)"
"Q_HOME_CAT","2","1861 (0.1%)","857 (0.1%)","749 (0.1%)","202 (0.1%)","283 (0.0%)"
"Q_LEARN_CAT","0","1328063 (98.5%)","807339 (98.4%)","1137693 (98.0%)","280116 (98.7%)","759974 (98.9%)"
"Q_LEARN_CAT","1","19693 (1.5%)","13420 (1.6%)","22547 (1.9%)","3582 (1.3%)","8182 (1.1%)"
"Q_LEARN_CAT","2","98 (0.0%)","90 (0.0%)","1116 (0.1%)","16 (0.0%)","345 (0.0%)"
"Q_DIAG_CKD_LEVEL","0","1340427 (99.4%)","813937 (99.2%)","1056801 (91.0%)","282373 (99.5%)","729767 (95.0%)"
"Q_DIAG_CKD_LEVEL","3","6603 (0.5%)","6369 (0.8%)","97617 (8.4%)","1215 (0.4%)","36425 (4.7%)"
"Q_DIAG_CKD_LEVEL","4","492 (0.0%)","324 (0.0%)","4034 (0.3%)","65 (0.0%)","1144 (0.1%)"
"Q_DIAG_CKD_LEVEL","5","332 (0.0%)","219 (0.0%)","2904 (0.3%)","61 (0.0%)","1165 (0.2%)"
