"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"ave_hh_age","mean.sd","34.5 (14.7)","42.8 (13.7)","59.4 (18)","35.1 (12.9)","54.2 (18.4)"
"ave_hh_age","median.iqr","31.25 (16.3333333333333)","42.25 (21)","61.5 (26.5)","33 (17.5)","58 (30.3333333333333)"
"n_hh_gp","1","433302 (32.0%)","227165 (27.7%)","442471 (38.1%)","69347 (24.3%)","247096 (31.5%)"
"n_hh_gp","2","303477 (22.4%)","218244 (26.6%)","433683 (37.3%)","63727 (22.3%)","287015 (36.5%)"
"n_hh_gp","3-5","535852 (39.5%)","352012 (42.9%)","267453 (23.0%)","139448 (48.9%)","219658 (28.0%)"
"n_hh_gp","6-10","64224 (4.7%)","22361 (2.7%)","16824 (1.4%)","10679 (3.7%)","14088 (1.8%)"
"n_hh_gp","11-30","7953 (0.6%)","802 (0.1%)","1060 (0.1%)","873 (0.3%)","6135 (0.8%)"
"n_hh_gp","31-100","6240 (0.5%)","226 (0.0%)","417 (0.0%)","996 (0.3%)","10002 (1.3%)"
"n_hh_gp","101+","5139 (0.4%)","171 (0.0%)","63 (0.0%)","262 (0.1%)","1471 (0.2%)"
"care_home_elderly","0","1347855 (99.4%)","820849 (100.0%)","1161356 (99.9%)","283714 (99.4%)","768501 (97.8%)"
"care_home_elderly","1","8332 (0.6%)","132 (0.0%)","615 (0.1%)","1618 (0.6%)","16964 (2.2%)"
"bmi_cat","Underweight","20661 (1.5%)","5556 (0.7%)","13486 (1.2%)","2523 (0.9%)","7250 (0.9%)"
"bmi_cat","Normal weight","180399 (13.3%)","80230 (9.8%)","158532 (13.6%)","36230 (12.7%)","103070 (13.1%)"
"bmi_cat","Overweight","1051681 (77.5%)","610195 (74.3%)","685877 (59.0%)","212714 (74.5%)","489725 (62.3%)"
"bmi_cat","Obese","103446 (7.6%)","125000 (15.2%)","304076 (26.2%)","33865 (11.9%)","185420 (23.6%)"
"EAVE_Smoke","Ex Smoker","90708 (6.7%)","97897 (11.9%)","227817 (19.6%)","29436 (10.3%)","133550 (17.0%)"
"EAVE_Smoke","Non Smoker","507209 (37.4%)","315775 (38.5%)","445636 (38.4%)","117726 (41.3%)","312567 (39.8%)"
"EAVE_Smoke","Smoker","206303 (15.2%)","188372 (22.9%)","292559 (25.2%)","52348 (18.3%)","182508 (23.2%)"
"EAVE_Smoke","Unknown","551967 (40.7%)","218937 (26.7%)","195959 (16.9%)","85822 (30.1%)","156840 (20.0%)"
"Q_DIAG_AF","0","1350323 (99.6%)","815954 (99.4%)","1093597 (94.1%)","284122 (99.6%)","757063 (96.4%)"
"Q_DIAG_AF","1","5864 (0.4%)","5027 (0.6%)","68374 (5.9%)","1210 (0.4%)","28402 (3.6%)"
"Q_DIAG_ASTHMA","0","1193283 (88.0%)","717836 (87.4%)","992604 (85.4%)","246423 (86.4%)","682585 (86.9%)"
"Q_DIAG_ASTHMA","1","162904 (12.0%)","103145 (12.6%)","169367 (14.6%)","38909 (13.6%)","102880 (13.1%)"
"Q_DIAG_BLOOD_CANCER","0","1354614 (99.9%)","819637 (99.8%)","1148464 (98.8%)","285053 (99.9%)","780105 (99.3%)"
"Q_DIAG_BLOOD_CANCER","1","1573 (0.1%)","1344 (0.2%)","13507 (1.2%)","279 (0.1%)","5360 (0.7%)"
"Q_DIAG_CCF","0","1352998 (99.8%)","818099 (99.6%)","1131402 (97.4%)","284701 (99.8%)","773730 (98.5%)"
"Q_DIAG_CCF","1","3189 (0.2%)","2882 (0.4%)","30569 (2.6%)","631 (0.2%)","11735 (1.5%)"
"Q_DIAG_CEREBRALPALSY","0","1355663 (100.0%)","820208 (99.9%)","1158335 (99.7%)","285208 (100.0%)","784453 (99.9%)"
"Q_DIAG_CEREBRALPALSY","1","523 (0.0%)","773 (0.1%)","3636 (0.3%)","124 (0.0%)","1012 (0.1%)"
"Q_DIAG_CHD","0","1345391 (99.2%)","810281 (98.7%)","1038732 (89.4%)","283045 (99.2%)","726890 (92.5%)"
"Q_DIAG_CHD","1","10795 (0.8%)","10700 (1.3%)","123239 (10.6%)","2287 (0.8%)","58575 (7.5%)"
"Q_DIAG_CIRRHOSIS","0","1353638 (99.8%)","817666 (99.6%)","1150458 (99.0%)","284678 (99.8%)","779545 (99.2%)"
"Q_DIAG_CIRRHOSIS","1","2549 (0.2%)","3315 (0.4%)","11513 (1.0%)","654 (0.2%)","5920 (0.8%)"
"Q_DIAG_CONGEN_HD","0","1353032 (99.8%)","817899 (99.6%)","1140492 (98.2%)","284745 (99.8%)","775527 (98.7%)"
"Q_DIAG_CONGEN_HD","1","3155 (0.2%)","3082 (0.4%)","21479 (1.8%)","587 (0.2%)","9938 (1.3%)"
"Q_DIAG_COPD","0","1347513 (99.4%)","812602 (99.0%)","1079144 (92.9%)","283564 (99.4%)","751886 (95.7%)"
"Q_DIAG_COPD","1","8673 (0.6%)","8379 (1.0%)","82827 (7.1%)","1768 (0.6%)","33579 (4.3%)"
"Q_DIAG_DEMENTIA","0","1353088 (99.8%)","819496 (99.8%)","1145526 (98.6%)","283885 (99.5%)","769597 (98.0%)"
"Q_DIAG_DEMENTIA","1","3099 (0.2%)","1485 (0.2%)","16445 (1.4%)","1447 (0.5%)","15868 (2.0%)"
"Q_DIAG_DIABETES_1","0","1354420 (99.9%)","818566 (99.7%)","1149389 (98.9%)","284994 (99.9%)","780083 (99.3%)"
"Q_DIAG_DIABETES_1","1","1766 (0.1%)","2415 (0.3%)","12582 (1.1%)","338 (0.1%)","5382 (0.7%)"
"Q_DIAG_DIABETES_2","0","1341552 (98.9%)","804008 (97.9%)","1009854 (86.9%)","282109 (98.9%)","708264 (90.2%)"
"Q_DIAG_DIABETES_2","1","14635 (1.1%)","16973 (2.1%)","152117 (13.1%)","3223 (1.1%)","77201 (9.8%)"
"Q_DIAG_EPILEPSY","0","1348473 (99.4%)","805257 (98.1%)","1133663 (97.6%)","284108 (99.6%)","773107 (98.4%)"
"Q_DIAG_EPILEPSY","1","7714 (0.6%)","15724 (1.9%)","28308 (2.4%)","1224 (0.4%)","12358 (1.6%)"
"Q_DIAG_FRACTURE","0","1315380 (97.0%)","790997 (96.3%)","1087526 (93.6%)","275498 (96.6%)","744460 (94.8%)"
"Q_DIAG_FRACTURE","1","40806 (3.0%)","29984 (3.7%)","74445 (6.4%)","9834 (3.4%)","41005 (5.2%)"
"Q_DIAG_NEURO","0","1354987 (99.9%)","819382 (99.8%)","1150855 (99.0%)","285109 (99.9%)","781044 (99.4%)"
"Q_DIAG_NEURO","1","1199 (0.1%)","1599 (0.2%)","11116 (1.0%)","223 (0.1%)","4421 (0.6%)"
"Q_DIAG_PARKINSONS","0","1355610 (100.0%)","820556 (99.9%)","1156294 (99.5%)","285162 (99.9%)","782533 (99.6%)"
"Q_DIAG_PARKINSONS","1","577 (0.0%)","425 (0.1%)","5677 (0.5%)","170 (0.1%)","2932 (0.4%)"
"Q_DIAG_PULM_HYPER","0","1355513 (100.0%)","820478 (99.9%)","1155933 (99.5%)","285243 (100.0%)","783813 (99.8%)"
"Q_DIAG_PULM_HYPER","1","674 (0.0%)","503 (0.1%)","6038 (0.5%)","89 (0.0%)","1652 (0.2%)"
"Q_DIAG_PULM_RARE","0","1354923 (99.9%)","819859 (99.9%)","1146954 (98.7%)","285120 (99.9%)","779772 (99.3%)"
"Q_DIAG_PULM_RARE","1","1264 (0.1%)","1122 (0.1%)","15017 (1.3%)","212 (0.1%)","5693 (0.7%)"
"Q_DIAG_PVD","0","1353185 (99.8%)","817318 (99.6%)","1136518 (97.8%)","284664 (99.8%)","773536 (98.5%)"
"Q_DIAG_PVD","1","3001 (0.2%)","3663 (0.4%)","25453 (2.2%)","668 (0.2%)","11929 (1.5%)"
"Q_DIAG_RA_SLE","0","1353211 (99.8%)","815816 (99.4%)","1135628 (97.7%)","284771 (99.8%)","772882 (98.4%)"
"Q_DIAG_RA_SLE","1","2976 (0.2%)","5165 (0.6%)","26343 (2.3%)","561 (0.2%)","12583 (1.6%)"
"Q_DIAG_RESP_CANCER","0","1355134 (99.9%)","819874 (99.9%)","1155726 (99.5%)","285140 (99.9%)","783049 (99.7%)"
"Q_DIAG_RESP_CANCER","1","1053 (0.1%)","1107 (0.1%)","6245 (0.5%)","192 (0.1%)","2416 (0.3%)"
"Q_DIAG_SEV_MENT_ILL","0","1248485 (92.1%)","703711 (85.7%)","986638 (84.9%)","254211 (89.1%)","673200 (85.7%)"
"Q_DIAG_SEV_MENT_ILL","1","107702 (7.9%)","117270 (14.3%)","175333 (15.1%)","31121 (10.9%)","112265 (14.3%)"
"Q_DIAG_SICKLE_CELL","0","1355867 (100.0%)","820613 (100.0%)","1160403 (99.9%)","285272 (100.0%)","784727 (99.9%)"
"Q_DIAG_SICKLE_CELL","1","319 (0.0%)","368 (0.0%)","1568 (0.1%)","60 (0.0%)","738 (0.1%)"
"Q_DIAG_STROKE","0","1349042 (99.5%)","814148 (99.2%)","1088194 (93.7%)","283625 (99.4%)","751471 (95.7%)"
"Q_DIAG_STROKE","1","7145 (0.5%)","6833 (0.8%)","73777 (6.3%)","1707 (0.6%)","33994 (4.3%)"
"Q_DIAG_VTE","0","1349202 (99.5%)","810547 (98.7%)","1121038 (96.5%)","284086 (99.6%)","767592 (97.7%)"
"Q_DIAG_VTE","1","6985 (0.5%)","10434 (1.3%)","40933 (3.5%)","1246 (0.4%)","17873 (2.3%)"
"Q_HOME_CAT","0","1352213 (99.7%)","819527 (99.8%)","1158896 (99.7%)","283653 (99.4%)","770011 (98.0%)"
"Q_HOME_CAT","1","2113 (0.2%)","596 (0.1%)","2326 (0.2%)","1477 (0.5%)","15154 (1.9%)"
"Q_HOME_CAT","2","1861 (0.1%)","858 (0.1%)","749 (0.1%)","202 (0.1%)","300 (0.0%)"
"Q_LEARN_CAT","0","1336334 (98.5%)","807466 (98.4%)","1138273 (98.0%)","281674 (98.7%)","776285 (98.8%)"
"Q_LEARN_CAT","1","19752 (1.5%)","13425 (1.6%)","22582 (1.9%)","3641 (1.3%)","8803 (1.1%)"
"Q_LEARN_CAT","2","100 (0.0%)","90 (0.0%)","1116 (0.1%)","17 (0.0%)","377 (0.0%)"
"Q_DIAG_CKD_LEVEL","0","1348313 (99.4%)","814035 (99.2%)","1057298 (91.0%)","283538 (99.4%)","742867 (94.6%)"
"Q_DIAG_CKD_LEVEL","3","7020 (0.5%)","6402 (0.8%)","97730 (8.4%)","1643 (0.6%)","40060 (5.1%)"
"Q_DIAG_CKD_LEVEL","4","515 (0.0%)","324 (0.0%)","4036 (0.3%)","85 (0.0%)","1315 (0.2%)"
"Q_DIAG_CKD_LEVEL","5","339 (0.0%)","220 (0.0%)","2907 (0.3%)","66 (0.0%)","1223 (0.2%)"
