"","label","levels","uv","vacc"
"47","n_hh_gp","1","889811 (34.6)","876778 (34.1)"
"48","","2","885516 (34.4)","899194 (34.9)"
"49","","3-5","749050 (29.1)","749389 (29.1)"
"50","","6-10","47116 (1.8)","46095 (1.8)"
"51","","11-30","1763 (0.1)","1889 (0.1)"
"52","","31-100","387 (0.0)","379 (0.0)"
"53","","101+","231 (0.0)","150 (0.0)"
"54","Q_DIAG_AF","0","2481457 (96.4)","2477112 (96.2)"
"55","","1","92417 (3.6)","96762 (3.8)"
"56","Q_DIAG_ASTHMA","0","2190496 (85.1)","2223850 (86.4)"
"57","","1","383378 (14.9)","350024 (13.6)"
"58","Q_DIAG_BLOOD_CANCER","0","2558409 (99.4)","2554294 (99.2)"
"59","","1","15465 (0.6)","19580 (0.8)"
"60","Q_DIAG_CCF","0","2531079 (98.3)","2530955 (98.3)"
"61","","1","42795 (1.7)","42919 (1.7)"
"62","Q_DIAG_CEREBRALPALSY","0","2571029 (99.9)","2568662 (99.8)"
"63","","1","2845 (0.1)","5212 (0.2)"
"64","Q_DIAG_CHD","0","2399491 (93.2)","2388534 (92.8)"
"65","","1","174383 (6.8)","185340 (7.2)"
"66","Q_DIAG_CIRRHOSIS","0","2553764 (99.2)","2553904 (99.2)"
"67","","1","20110 (0.8)","19970 (0.8)"
"68","Q_DIAG_CONGEN_HD","0","2548802 (99.0)","2540329 (98.7)"
"69","","1","25072 (1.0)","33545 (1.3)"
"70","Q_DIAG_COPD","0","2460100 (95.6)","2452656 (95.3)"
"71","","1","113774 (4.4)","121218 (4.7)"
"72","Q_DIAG_DEMENTIA","0","2547972 (99.0)","2550266 (99.1)"
"73","","1","25902 (1.0)","23608 (0.9)"
"74","Q_DIAG_DIABETES_1","0","2563372 (99.6)","2554015 (99.2)"
"75","","1","10502 (0.4)","19859 (0.8)"
"76","Q_DIAG_DIABETES_2","0","2358016 (91.6)","2336640 (90.8)"
"77","","1","215858 (8.4)","237234 (9.2)"
"78","Q_DIAG_EPILEPSY","0","2527778 (98.2)","2519856 (97.9)"
"79","","1","46096 (1.8)","54018 (2.1)"
"80","Q_DIAG_FRACTURE","0","2418339 (94.0)","2439908 (94.8)"
"81","","1","155535 (6.0)","133966 (5.2)"
"82","Q_DIAG_NEURO","0","2562005 (99.5)","2557352 (99.4)"
"83","","1","11869 (0.5)","16522 (0.6)"
"84","Q_DIAG_PARKINSONS","0","2565390 (99.7)","2565691 (99.7)"
"85","","1","8484 (0.3)","8183 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","2566247 (99.7)","2566005 (99.7)"
"87","","1","7627 (0.3)","7869 (0.3)"
"88","Q_DIAG_PULM_RARE","0","2556243 (99.3)","2552740 (99.2)"
"89","","1","17631 (0.7)","21134 (0.8)"
"90","Q_DIAG_PVD","0","2532802 (98.4)","2534321 (98.5)"
"91","","1","41072 (1.6)","39553 (1.5)"
"92","Q_DIAG_RA_SLE","0","2537489 (98.6)","2531125 (98.3)"
"93","","1","36385 (1.4)","42749 (1.7)"
"94","Q_DIAG_RESP_CANCER","0","2564257 (99.6)","2564421 (99.6)"
"95","","1","9617 (0.4)","9453 (0.4)"
"96","Q_DIAG_SEV_MENT_ILL","0","2133489 (82.9)","2197590 (85.4)"
"97","","1","440385 (17.1)","376284 (14.6)"
"98","Q_DIAG_SICKLE_CELL","0","2571976 (99.9)","2571295 (99.9)"
"99","","1","1898 (0.1)","2579 (0.1)"
"100","Q_DIAG_STROKE","0","2467568 (95.9)","2465949 (95.8)"
"101","","1","106306 (4.1)","107925 (4.2)"
"102","Q_DIAG_VTE","0","2508336 (97.5)","2507761 (97.4)"
"103","","1","65538 (2.5)","66113 (2.6)"
"104","Q_HOME_CAT","0","2566205 (99.7)","2565631 (99.7)"
"105","","1","4473 (0.2)","6509 (0.3)"
"106","","2","3196 (0.1)","1734 (0.1)"
"107","Q_LEARN_CAT","0","2533289 (98.4)","2530028 (98.3)"
"108","","1","40158 (1.6)","42356 (1.6)"
"109","","2","427 (0.0)","1490 (0.1)"
"110","Q_DIAG_CKD_LEVEL","0","2434027 (94.6)","2427604 (94.3)"
"111","","3","131897 (5.1)","136857 (5.3)"
"112","","4","5126 (0.2)","5295 (0.2)"
"113","","5","2824 (0.1)","4118 (0.2)"
