"","label","levels","uv_az","vacc_az"
"89","","1","11535 (0.7)","15658 (0.9)"
"90","Q_DIAG_PVD","0","1712071 (98.4)","1712098 (98.4)"
"91","","1","28084 (1.6)","28057 (1.6)"
"92","Q_DIAG_RA_SLE","0","1716518 (98.6)","1709628 (98.2)"
"93","","1","23637 (1.4)","30527 (1.8)"
"94","Q_DIAG_RESP_CANCER","0","1733626 (99.6)","1733092 (99.6)"
"95","","1","6529 (0.4)","7063 (0.4)"
"96","Q_DIAG_SEV_MENT_ILL","0","1433374 (82.4)","1480127 (85.1)"
"97","","1","306781 (17.6)","260028 (14.9)"
"98","Q_DIAG_SICKLE_CELL","0","1738943 (99.9)","1738309 (99.9)"
"99","","1","1212 (0.1)","1846 (0.1)"
"100","Q_DIAG_STROKE","0","1666480 (95.8)","1662620 (95.5)"
"101","","1","73675 (4.2)","77535 (4.5)"
"102","Q_DIAG_VTE","0","1694379 (97.4)","1690836 (97.2)"
"103","","1","45776 (2.6)","49319 (2.8)"
"104","Q_HOME_CAT","0","1734727 (99.7)","1736409 (99.8)"
"105","","1","3013 (0.2)","2354 (0.1)"
"106","","2","2415 (0.1)","1392 (0.1)"
"107","Q_LEARN_CAT","0","1711906 (98.4)","1705751 (98.0)"
"108","","1","28036 (1.6)","33259 (1.9)"
"109","","2","213 (0.0)","1145 (0.1)"
"110","Q_DIAG_CKD_LEVEL","0","1639601 (94.2)","1632722 (93.8)"
"111","","3","95136 (5.5)","100324 (5.8)"
"112","","4","3707 (0.2)","4140 (0.2)"
"113","","5","1711 (0.1)","2969 (0.2)"
