"","label","levels","uv_az","vacc_az"
"90","Q_DIAG_PVD","0","1850903 (98.6)","1851229 (98.6)"
"91","","1","27174 (1.4)","26848 (1.4)"
"92","Q_DIAG_RA_SLE","0","1855686 (98.8)","1848703 (98.4)"
"93","","1","22391 (1.2)","29374 (1.6)"
"94","Q_DIAG_RESP_CANCER","0","1872059 (99.7)","1871240 (99.6)"
"95","","1","6018 (0.3)","6837 (0.4)"
"96","Q_DIAG_SEV_MENT_ILL","0","1558531 (83.0)","1606677 (85.5)"
"97","","1","319546 (17.0)","271400 (14.5)"
"98","Q_DIAG_SICKLE_CELL","0","1876913 (99.9)","1876279 (99.9)"
"99","","1","1164 (0.1)","1798 (0.1)"
"100","Q_DIAG_STROKE","0","1808706 (96.3)","1803727 (96.0)"
"101","","1","69371 (3.7)","74350 (4.0)"
"102","Q_DIAG_VTE","0","1834245 (97.7)","1830826 (97.5)"
"103","","1","43832 (2.3)","47251 (2.5)"
"104","Q_HOME_CAT","0","1873448 (99.8)","1874337 (99.8)"
"105","","1","2634 (0.1)","2254 (0.1)"
"106","","2","1995 (0.1)","1486 (0.1)"
"107","Q_LEARN_CAT","0","1846924 (98.3)","1844802 (98.2)"
"108","","1","30952 (1.6)","32156 (1.7)"
"109","","2","201 (0.0)","1119 (0.1)"
"110","Q_DIAG_CKD_LEVEL","0","1780596 (94.8)","1774626 (94.5)"
"111","","3","92357 (4.9)","96580 (5.1)"
"112","","4","3532 (0.2)","3997 (0.2)"
"113","","5","1592 (0.1)","2874 (0.2)"
