"","label","levels","uv_az","vacc_az","uv_pb","vacc_pb"
"26","n_risk_gps","0","953580 (50.8)","947127 (50.4)","810879 (60.3)","823973 (61.3)"
"27","","1","549014 (29.2)","546424 (29.1)","352230 (26.2)","352202 (26.2)"
"28","","2","226447 (12.1)","228263 (12.2)","114887 (8.5)","110056 (8.2)"
"29","","3","87323 (4.6)","91169 (4.9)","40650 (3.0)","36977 (2.7)"
"30","","4","37131 (2.0)","39552 (2.1)","16400 (1.2)","13837 (1.0)"
"31","","5+","24582 (1.3)","25542 (1.4)","9715 (0.7)","7716 (0.6)"
"32","n_tests_gp","0","1562896 (83.2)","1570242 (83.6)","1048057 (77.9)","1045963 (77.8)"
"33","","1","224036 (11.9)","222999 (11.9)","196306 (14.6)","197545 (14.7)"
"34","","2","49642 (2.6)","47991 (2.6)","44851 (3.3)","44844 (3.3)"
"35","","3","15331 (0.8)","14408 (0.8)","13074 (1.0)","12745 (0.9)"
"36","","4-9","18341 (1.0)","16456 (0.9)","18886 (1.4)","18253 (1.4)"
"37","","10+","7831 (0.4)","5981 (0.3)","23587 (1.8)","25411 (1.9)"
"38","EAVE_Smoke","Ex Smoker","305289 (16.3)","307071 (16.4)","169849 (12.6)","171624 (12.8)"
"39","","Non Smoker","718883 (38.3)","722278 (38.5)","543770 (40.4)","556328 (41.4)"
"40","","Smoker","451320 (24.0)","454077 (24.2)","272347 (20.3)","261902 (19.5)"
"41","","Unknown","402585 (21.4)","394651 (21.0)","358795 (26.7)","354907 (26.4)"
"42","bmi_cat","Underweight","17885 (1.0)","17549 (0.9)","13821 (1.0)","12746 (0.9)"
"43","","Normal weight","222551 (11.8)","226323 (12.1)","178299 (13.3)","178203 (13.3)"
"44","","Overweight","1242356 (66.2)","1236036 (65.8)","920363 (68.4)","922126 (68.6)"
"45","","Obese","395285 (21.0)","398169 (21.2)","232278 (17.3)","231686 (17.2)"
"46","ave_hh_age","Mean (SD)","52.3 (18.2)","52.2 (18.3)","43.8 (18.6)","43.7 (18.6)"
"47","n_hh_gp","1","649512 (34.6)","631456 (33.6)","392995 (29.2)","383228 (28.5)"
"48","","2","606504 (32.3)","614908 (32.7)","408017 (30.3)","413634 (30.8)"
"49","","3-5","581092 (30.9)","592380 (31.5)","505324 (37.6)","509837 (37.9)"
"50","","6-10","38861 (2.1)","37498 (2.0)","36378 (2.7)","36140 (2.7)"
"51","","11-30","1646 (0.1)","1463 (0.1)","1568 (0.1)","1490 (0.1)"
"52","","31-100","235 (0.0)","204 (0.0)","242 (0.0)","259 (0.0)"
"53","","101+","227 (0.0)","168 (0.0)","237 (0.0)","173 (0.0)"
"54","Q_DIAG_AF","0","1814659 (96.6)","1810061 (96.4)","1319199 (98.1)","1319410 (98.1)"
"55","","1","63418 (3.4)","68016 (3.6)","25562 (1.9)","25351 (1.9)"
"56","Q_DIAG_ASTHMA","0","1594822 (84.9)","1624561 (86.5)","1151932 (85.7)","1160128 (86.3)"
"57","","1","283255 (15.1)","253516 (13.5)","192829 (14.3)","184633 (13.7)"
"58","Q_DIAG_BLOOD_CANCER","0","1868635 (99.5)","1864131 (99.3)","1339413 (99.6)","1339558 (99.6)"
"59","","1","9442 (0.5)","13946 (0.7)","5348 (0.4)","5203 (0.4)"
"60","Q_DIAG_CCF","0","1849261 (98.5)","1847427 (98.4)","1332763 (99.1)","1334158 (99.2)"
"61","","1","28816 (1.5)","30650 (1.6)","11998 (0.9)","10603 (0.8)"
"62","Q_DIAG_CEREBRALPALSY","0","1876105 (99.9)","1874170 (99.8)","1343460 (99.9)","1343734 (99.9)"
"63","","1","1972 (0.1)","3907 (0.2)","1301 (0.1)","1027 (0.1)"
"64","Q_DIAG_CHD","0","1767073 (94.1)","1753663 (93.4)","1291563 (96.0)","1290379 (96.0)"
"65","","1","111004 (5.9)","124414 (6.6)","53198 (4.0)","54382 (4.0)"
"66","Q_DIAG_CIRRHOSIS","0","1864832 (99.3)","1864259 (99.3)","1337843 (99.5)","1338420 (99.5)"
"67","","1","13245 (0.7)","13818 (0.7)","6918 (0.5)","6341 (0.5)"
"68","Q_DIAG_CONGEN_HD","0","1862272 (99.2)","1855295 (98.8)","1336008 (99.3)","1334865 (99.3)"
"69","","1","15805 (0.8)","22782 (1.2)","8753 (0.7)","9896 (0.7)"
"70","Q_DIAG_COPD","0","1811464 (96.5)","1793042 (95.5)","1306545 (97.2)","1312797 (97.6)"
"71","","1","66613 (3.5)","85035 (4.5)","38216 (2.8)","31964 (2.4)"
"72","Q_DIAG_DEMENTIA","0","1858597 (99.0)","1862224 (99.2)","1339201 (99.6)","1338004 (99.5)"
"73","","1","19480 (1.0)","15853 (0.8)","5560 (0.4)","6757 (0.5)"
"74","Q_DIAG_DIABETES_1","0","1872064 (99.7)","1863992 (99.3)","1340489 (99.7)","1339392 (99.6)"
"75","","1","6013 (0.3)","14085 (0.7)","4272 (0.3)","5369 (0.4)"
"76","Q_DIAG_DIABETES_2","0","1747752 (93.1)","1721611 (91.7)","1274342 (94.8)","1271645 (94.6)"
"77","","1","130325 (6.9)","156466 (8.3)","70419 (5.2)","73116 (5.4)"
"78","Q_DIAG_EPILEPSY","0","1845681 (98.3)","1837854 (97.9)","1329271 (98.8)","1332574 (99.1)"
"79","","1","32396 (1.7)","40223 (2.1)","15490 (1.2)","12187 (0.9)"
"80","Q_DIAG_FRACTURE","0","1762195 (93.8)","1781843 (94.9)","1285715 (95.6)","1290073 (95.9)"
"81","","1","115882 (6.2)","96234 (5.1)","59046 (4.4)","54688 (4.1)"
"82","Q_DIAG_NEURO","0","1871307 (99.6)","1866125 (99.4)","1340080 (99.7)","1340603 (99.7)"
"83","","1","6770 (0.4)","11952 (0.6)","4681 (0.3)","4158 (0.3)"
"84","Q_DIAG_PARKINSONS","0","1872347 (99.7)","1872485 (99.7)","1342206 (99.8)","1342487 (99.8)"
"85","","1","5730 (0.3)","5592 (0.3)","2555 (0.2)","2274 (0.2)"
"86","Q_DIAG_PULM_HYPER","0","1873008 (99.7)","1872034 (99.7)","1342639 (99.8)","1343248 (99.9)"
"87","","1","5069 (0.3)","6043 (0.3)","2122 (0.2)","1513 (0.1)"
"88","Q_DIAG_PULM_RARE","0","1867293 (99.4)","1862969 (99.2)","1338759 (99.6)","1339389 (99.6)"
"89","","1","10784 (0.6)","15108 (0.8)","6002 (0.4)","5372 (0.4)"
"90","Q_DIAG_PVD","0","1850903 (98.6)","1851229 (98.6)","1332222 (99.1)","1333502 (99.2)"
"91","","1","27174 (1.4)","26848 (1.4)","12539 (0.9)","11259 (0.8)"
"92","Q_DIAG_RA_SLE","0","1855686 (98.8)","1848703 (98.4)","1331871 (99.0)","1332582 (99.1)"
"93","","1","22391 (1.2)","29374 (1.6)","12890 (1.0)","12179 (0.9)"
"94","Q_DIAG_RESP_CANCER","0","1872059 (99.7)","1871240 (99.6)","1341810 (99.8)","1342411 (99.8)"
"95","","1","6018 (0.3)","6837 (0.4)","2951 (0.2)","2350 (0.2)"
"96","Q_DIAG_SEV_MENT_ILL","0","1558531 (83.0)","1606677 (85.5)","1176612 (87.5)","1190722 (88.5)"
"97","","1","319546 (17.0)","271400 (14.5)","168149 (12.5)","154039 (11.5)"
"98","Q_DIAG_SICKLE_CELL","0","1876913 (99.9)","1876279 (99.9)","1344032 (99.9)","1343995 (99.9)"
"99","","1","1164 (0.1)","1798 (0.1)","729 (0.1)","766 (0.1)"
"100","Q_DIAG_STROKE","0","1808706 (96.3)","1803727 (96.0)","1313487 (97.7)","1315202 (97.8)"
"101","","1","69371 (3.7)","74350 (4.0)","31274 (2.3)","29559 (2.2)"
"102","Q_DIAG_VTE","0","1834245 (97.7)","1830826 (97.5)","1324988 (98.5)","1328034 (98.8)"
"103","","1","43832 (2.3)","47251 (2.5)","19773 (1.5)","16727 (1.2)"
"104","Q_HOME_CAT","0","1873448 (99.8)","1874337 (99.8)","1342460 (99.8)","1340059 (99.7)"
"105","","1","2634 (0.1)","2254 (0.1)","1413 (0.1)","4085 (0.3)"
"106","","2","1995 (0.1)","1486 (0.1)","888 (0.1)","617 (0.0)"
"107","Q_LEARN_CAT","0","1846924 (98.3)","1844802 (98.2)","1324405 (98.5)","1328186 (98.8)"
"108","","1","30952 (1.6)","32156 (1.7)","20105 (1.5)","16245 (1.2)"
"109","","2","201 (0.0)","1119 (0.1)","251 (0.0)","330 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","1780596 (94.8)","1774626 (94.5)","1306639 (97.2)","1306907 (97.2)"
"111","","3","92357 (4.9)","96580 (5.1)","35725 (2.7)","35555 (2.6)"
"112","","4","3532 (0.2)","3997 (0.2)","1342 (0.1)","1143 (0.1)"
"113","","5","1592 (0.1)","2874 (0.2)","1055 (0.1)","1156 (0.1)"
