"","label","levels","uv_pb","vacc_pb"
"70","Q_DIAG_COPD","0","1306545 (97.2)","1312797 (97.6)"
"71","","1","38216 (2.8)","31964 (2.4)"
"72","Q_DIAG_DEMENTIA","0","1339201 (99.6)","1338004 (99.5)"
"73","","1","5560 (0.4)","6757 (0.5)"
"74","Q_DIAG_DIABETES_1","0","1340489 (99.7)","1339392 (99.6)"
"75","","1","4272 (0.3)","5369 (0.4)"
"76","Q_DIAG_DIABETES_2","0","1274342 (94.8)","1271645 (94.6)"
"77","","1","70419 (5.2)","73116 (5.4)"
"78","Q_DIAG_EPILEPSY","0","1329271 (98.8)","1332574 (99.1)"
"79","","1","15490 (1.2)","12187 (0.9)"
"80","Q_DIAG_FRACTURE","0","1285715 (95.6)","1290073 (95.9)"
"81","","1","59046 (4.4)","54688 (4.1)"
"82","Q_DIAG_NEURO","0","1340080 (99.7)","1340603 (99.7)"
"83","","1","4681 (0.3)","4158 (0.3)"
"84","Q_DIAG_PARKINSONS","0","1342206 (99.8)","1342487 (99.8)"
"85","","1","2555 (0.2)","2274 (0.2)"
"86","Q_DIAG_PULM_HYPER","0","1342639 (99.8)","1343248 (99.9)"
"87","","1","2122 (0.2)","1513 (0.1)"
"88","Q_DIAG_PULM_RARE","0","1338759 (99.6)","1339389 (99.6)"
"89","","1","6002 (0.4)","5372 (0.4)"
"90","Q_DIAG_PVD","0","1332222 (99.1)","1333502 (99.2)"
"91","","1","12539 (0.9)","11259 (0.8)"
"92","Q_DIAG_RA_SLE","0","1331871 (99.0)","1332582 (99.1)"
"93","","1","12890 (1.0)","12179 (0.9)"
"94","Q_DIAG_RESP_CANCER","0","1341810 (99.8)","1342411 (99.8)"
"95","","1","2951 (0.2)","2350 (0.2)"
"96","Q_DIAG_SEV_MENT_ILL","0","1176612 (87.5)","1190722 (88.5)"
"97","","1","168149 (12.5)","154039 (11.5)"
"98","Q_DIAG_SICKLE_CELL","0","1344032 (99.9)","1343995 (99.9)"
"99","","1","729 (0.1)","766 (0.1)"
"100","Q_DIAG_STROKE","0","1313487 (97.7)","1315202 (97.8)"
"101","","1","31274 (2.3)","29559 (2.2)"
"102","Q_DIAG_VTE","0","1324988 (98.5)","1328034 (98.8)"
"103","","1","19773 (1.5)","16727 (1.2)"
"104","Q_HOME_CAT","0","1342460 (99.8)","1340059 (99.7)"
"105","","1","1413 (0.1)","4085 (0.3)"
"106","","2","888 (0.1)","617 (0.0)"
"107","Q_LEARN_CAT","0","1324405 (98.5)","1328186 (98.8)"
"108","","1","20105 (1.5)","16245 (1.2)"
"109","","2","251 (0.0)","330 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","1306639 (97.2)","1306907 (97.2)"
"111","","3","35725 (2.7)","35555 (2.6)"
"112","","4","1342 (0.1)","1143 (0.1)"
"113","","5","1055 (0.1)","1156 (0.1)"
