"","label","levels","v1","v2"
"55","","Smoker","585274 (24.3)","571111 (23.8)"
"56","","Unknown","483610 (20.1)","484107 (20.1)"
"57","Q_DIAG_AF","0","2318391 (96.4)","2315114 (96.3)"
"58","","1","86102 (3.6)","89379 (3.7)"
"59","Q_DIAG_ASTHMA","0","2061079 (85.7)","2081177 (86.6)"
"60","","1","343414 (14.3)","323316 (13.4)"
"61","Q_DIAG_BLOOD_CANCER","0","2390161 (99.4)","2386270 (99.2)"
"62","","1","14332 (0.6)","18223 (0.8)"
"63","Q_DIAG_CCF","0","2366004 (98.4)","2365450 (98.4)"
"64","","1","38489 (1.6)","39043 (1.6)"
"65","Q_DIAG_CEREBRALPALSY","0","2401384 (99.9)","2399809 (99.8)"
"66","","1","3109 (0.1)","4684 (0.2)"
"67","Q_DIAG_CHD","0","2241359 (93.2)","2232767 (92.9)"
"68","","1","163134 (6.8)","171726 (7.1)"
"69","Q_DIAG_CIRRHOSIS","0","2386160 (99.2)","2386204 (99.2)"
"70","","1","18333 (0.8)","18289 (0.8)"
"71","Q_DIAG_CONGEN_HD","0","2379136 (98.9)","2373456 (98.7)"
"72","","1","25357 (1.1)","31037 (1.3)"
"73","Q_DIAG_COPD","0","2301114 (95.7)","2293465 (95.4)"
"74","","1","103379 (4.3)","111028 (4.6)"
"75","Q_DIAG_DEMENTIA","0","2381952 (99.1)","2384633 (99.2)"
"76","","1","22541 (0.9)","19860 (0.8)"
"77","Q_DIAG_DIABETES_1","0","2392587 (99.5)","2385969 (99.2)"
"78","","1","11906 (0.5)","18524 (0.8)"
"79","Q_DIAG_DIABETES_2","0","2200720 (91.5)","2184019 (90.8)"
"80","","1","203773 (8.5)","220474 (9.2)"
"81","Q_DIAG_EPILEPSY","0","2356299 (98.0)","2356445 (98.0)"
"82","","1","48194 (2.0)","48048 (2.0)"
"83","Q_DIAG_FRACTURE","0","2266742 (94.3)","2281659 (94.9)"
"84","","1","137751 (5.7)","122834 (5.1)"
"85","Q_DIAG_NEURO","0","2393321 (99.5)","2389039 (99.4)"
"86","","1","11172 (0.5)","15454 (0.6)"
"87","Q_DIAG_PARKINSONS","0","2396922 (99.7)","2396972 (99.7)"
"88","","1","7571 (0.3)","7521 (0.3)"
"89","Q_DIAG_PULM_HYPER","0","2397791 (99.7)","2397379 (99.7)"
"90","","1","6702 (0.3)","7114 (0.3)"
"91","Q_DIAG_PULM_RARE","0","2388198 (99.3)","2384807 (99.2)"
"92","","1","16295 (0.7)","19686 (0.8)"
"93","Q_DIAG_PVD","0","2367017 (98.4)","2368397 (98.5)"
"94","","1","37476 (1.6)","36096 (1.5)"
"95","Q_DIAG_RA_SLE","0","2369682 (98.6)","2364677 (98.3)"
"96","","1","34811 (1.4)","39816 (1.7)"
"97","Q_DIAG_RESP_CANCER","0","2396051 (99.6)","2395945 (99.6)"
"98","","1","8442 (0.4)","8548 (0.4)"
"99","Q_DIAG_SEV_MENT_ILL","0","2007208 (83.5)","2061106 (85.7)"
"100","","1","397285 (16.5)","343387 (14.3)"
"101","Q_DIAG_SICKLE_CELL","0","2402657 (99.9)","2402113 (99.9)"
"102","","1","1836 (0.1)","2380 (0.1)"
"103","Q_DIAG_STROKE","0","2307021 (95.9)","2305373 (95.9)"
"104","","1","97472 (4.1)","99120 (4.1)"
"105","Q_DIAG_VTE","0","2344401 (97.5)","2344352 (97.5)"
"106","","1","60092 (2.5)","60141 (2.5)"
"107","Q_HOME_CAT","0","2398509 (99.8)","2398455 (99.7)"
"108","","1","3865 (0.2)","4693 (0.2)"
"109","","2","2119 (0.1)","1345 (0.1)"
"110","Q_LEARN_CAT","0","2364313 (98.3)","2366002 (98.4)"
"111","","1","39733 (1.7)","37074 (1.5)"
"112","","2","447 (0.0)","1417 (0.1)"
"113","Q_DIAG_CKD_LEVEL","0","2273527 (94.6)","2269523 (94.4)"
"114","","3","123987 (5.2)","126299 (5.3)"
"115","","4","4426 (0.2)","4835 (0.2)"
"116","","5","2553 (0.1)","3836 (0.2)"
