"","label","levels","v1","v2","v1_az","v2_az","v1_pb","v2_pb"
"79","","1","49189 (2.0)","48882 (2.0)","38992 (2.4)","38051 (2.3)","10197 (1.3)","10831 (1.3)"
"80","Q_DIAG_FRACTURE","0","2313475 (94.2)","2328934 (94.9)","1548125 (93.8)","1561413 (94.6)","765350 (95.2)","767521 (95.5)"
"81","","1","141214 (5.8)","125755 (5.1)","102780 (6.2)","89492 (5.4)","38434 (4.8)","36263 (4.5)"
"82","Q_DIAG_NEURO","0","2443285 (99.5)","2438994 (99.4)","1643205 (99.5)","1639111 (99.3)","800080 (99.5)","799883 (99.5)"
"83","","1","11404 (0.5)","15695 (0.6)","7700 (0.5)","11794 (0.7)","3704 (0.5)","3901 (0.5)"
"84","Q_DIAG_PARKINSONS","0","2446861 (99.7)","2446980 (99.7)","1645187 (99.7)","1645313 (99.7)","801674 (99.7)","801667 (99.7)"
"85","","1","7828 (0.3)","7709 (0.3)","5718 (0.3)","5592 (0.3)","2110 (0.3)","2117 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","2447778 (99.7)","2447400 (99.7)","1645387 (99.7)","1645003 (99.6)","802391 (99.8)","802397 (99.8)"
"87","","1","6911 (0.3)","7289 (0.3)","5518 (0.3)","5902 (0.4)","1393 (0.2)","1387 (0.2)"
"88","Q_DIAG_PULM_RARE","0","2437914 (99.3)","2434582 (99.2)","1639078 (99.3)","1635867 (99.1)","798836 (99.4)","798715 (99.4)"
"89","","1","16775 (0.7)","20107 (0.8)","11827 (0.7)","15038 (0.9)","4948 (0.6)","5069 (0.6)"
"90","Q_DIAG_PVD","0","2416132 (98.4)","2417545 (98.5)","1623746 (98.4)","1624343 (98.4)","792386 (98.6)","793202 (98.7)"
"91","","1","38557 (1.6)","37144 (1.5)","27159 (1.6)","26562 (1.6)","11398 (1.4)","10582 (1.3)"
"92","Q_DIAG_RA_SLE","0","2419003 (98.5)","2414036 (98.3)","1626111 (98.5)","1621704 (98.2)","792892 (98.6)","792332 (98.6)"
"93","","1","35686 (1.5)","40653 (1.7)","24794 (1.5)","29201 (1.8)","10892 (1.4)","11452 (1.4)"
"94","Q_DIAG_RESP_CANCER","0","2446007 (99.6)","2445915 (99.6)","1644427 (99.6)","1644311 (99.6)","801580 (99.7)","801604 (99.7)"
"95","","1","8682 (0.4)","8774 (0.4)","6478 (0.4)","6594 (0.4)","2204 (0.3)","2180 (0.3)"
"96","Q_DIAG_SEV_MENT_ILL","0","2048191 (83.4)","2104127 (85.7)","1360955 (82.4)","1409367 (85.4)","687236 (85.5)","694760 (86.4)"
"97","","1","406498 (16.6)","350562 (14.3)","289950 (17.6)","241538 (14.6)","116548 (14.5)","109024 (13.6)"
"98","Q_DIAG_SICKLE_CELL","0","2452824 (99.9)","2452277 (99.9)","1649578 (99.9)","1649169 (99.9)","803246 (99.9)","803108 (99.9)"
"99","","1","1865 (0.1)","2412 (0.1)","1327 (0.1)","1736 (0.1)","538 (0.1)","676 (0.1)"
"100","Q_DIAG_STROKE","0","2354182 (95.9)","2352948 (95.9)","1579777 (95.7)","1576904 (95.5)","774405 (96.3)","776044 (96.5)"
"101","","1","100507 (4.1)","101741 (4.1)","71128 (4.3)","74001 (4.5)","29379 (3.7)","27740 (3.5)"
"102","Q_DIAG_VTE","0","2393091 (97.5)","2393152 (97.5)","1604855 (97.2)","1604788 (97.2)","788236 (98.1)","788364 (98.1)"
"103","","1","61598 (2.5)","61537 (2.5)","46050 (2.8)","46117 (2.8)","15548 (1.9)","15420 (1.9)"
"104","Q_HOME_CAT","0","2448536 (99.7)","2448557 (99.8)","1646848 (99.8)","1647680 (99.8)","801688 (99.7)","800877 (99.6)"
"105","","1","3991 (0.2)","4763 (0.2)","2319 (0.1)","2137 (0.1)","1672 (0.2)","2626 (0.3)"
"106","","2","2162 (0.1)","1369 (0.1)","1738 (0.1)","1088 (0.1)","424 (0.1)","281 (0.0)"
"107","Q_LEARN_CAT","0","2413741 (98.3)","2415663 (98.4)","1619183 (98.1)","1620471 (98.2)","794558 (98.9)","795192 (98.9)"
"108","","1","40491 (1.6)","37605 (1.5)","31400 (1.9)","29328 (1.8)","9091 (1.1)","8277 (1.0)"
"109","","2","457 (0.0)","1421 (0.1)","322 (0.0)","1106 (0.1)","135 (0.0)","315 (0.0)"
"110","Q_DIAG_CKD_LEVEL","0","2319834 (94.5)","2316041 (94.4)","1552126 (94.0)","1547934 (93.8)","767708 (95.5)","768107 (95.6)"
"111","","3","127695 (5.2)","129816 (5.3)","93449 (5.7)","96206 (5.8)","34246 (4.3)","33610 (4.2)"
"112","","4","4535 (0.2)","4943 (0.2)","3566 (0.2)","3924 (0.2)","969 (0.1)","1019 (0.1)"
"113","","5","2625 (0.1)","3889 (0.2)","1764 (0.1)","2841 (0.2)","861 (0.1)","1048 (0.1)"
