"","label","levels","v1_pb","v2_pb"
"63","","1","2386 (0.5)","2547 (0.5)"
"64","Q_DIAG_CCF","0","468929 (98.9)","469197 (99.0)"
"65","","1","5140 (1.1)","4872 (1.0)"
"66","Q_DIAG_CEREBRALPALSY","0","473671 (99.9)","473485 (99.9)"
"67","","1","398 (0.1)","584 (0.1)"
"68","Q_DIAG_CHD","0","447212 (94.3)","448246 (94.6)"
"69","","1","26857 (5.7)","25823 (5.4)"
"70","Q_DIAG_CIRRHOSIS","0","471077 (99.4)","471182 (99.4)"
"71","","1","2992 (0.6)","2887 (0.6)"
"72","Q_DIAG_CONGEN_HD","0","469742 (99.1)","468907 (98.9)"
"73","","1","4327 (0.9)","5162 (1.1)"
"74","Q_DIAG_COPD","0","458308 (96.7)","459153 (96.9)"
"75","","1","15761 (3.3)","14916 (3.1)"
"76","Q_DIAG_DEMENTIA","0","471640 (99.5)","471184 (99.4)"
"77","","1","2429 (0.5)","2885 (0.6)"
"78","Q_DIAG_DIABETES_1","0","471929 (99.5)","471016 (99.4)"
"79","","1","2140 (0.5)","3053 (0.6)"
"80","Q_DIAG_DIABETES_2","0","437501 (92.3)","439208 (92.6)"
"81","","1","36568 (7.7)","34861 (7.4)"
"82","Q_DIAG_EPILEPSY","0","468694 (98.9)","467837 (98.7)"
"83","","1","5375 (1.1)","6232 (1.3)"
"84","Q_DIAG_FRACTURE","0","452719 (95.5)","453658 (95.7)"
"85","","1","21350 (4.5)","20411 (4.3)"
"86","Q_DIAG_NEURO","0","472078 (99.6)","471922 (99.5)"
"87","","1","1991 (0.4)","2147 (0.5)"
"88","Q_DIAG_PARKINSONS","0","473065 (99.8)","472999 (99.8)"
"89","","1","1004 (0.2)","1070 (0.2)"
"90","Q_DIAG_PULM_HYPER","0","473357 (99.8)","473337 (99.8)"
"91","","1","712 (0.2)","732 (0.2)"
"92","Q_DIAG_PULM_RARE","0","471569 (99.5)","471359 (99.4)"
"93","","1","2500 (0.5)","2710 (0.6)"
"94","Q_DIAG_PVD","0","468570 (98.8)","468799 (98.9)"
"95","","1","5499 (1.2)","5270 (1.1)"
"96","Q_DIAG_RA_SLE","0","468435 (98.8)","467948 (98.7)"
"97","","1","5634 (1.2)","6121 (1.3)"
"98","Q_DIAG_RESP_CANCER","0","472941 (99.8)","473014 (99.8)"
"99","","1","1128 (0.2)","1055 (0.2)"
"100","Q_DIAG_SEV_MENT_ILL","0","408842 (86.2)","411064 (86.7)"
"101","","1","65227 (13.8)","63005 (13.3)"
"102","Q_DIAG_SICKLE_CELL","0","473754 (99.9)","473651 (99.9)"
"103","","1","315 (0.1)","418 (0.1)"
"104","Q_DIAG_STROKE","0","459592 (96.9)","460150 (97.1)"
"105","","1","14477 (3.1)","13919 (2.9)"
"106","Q_DIAG_VTE","0","466114 (98.3)","465968 (98.3)"
"107","","1","7955 (1.7)","8101 (1.7)"
"108","Q_HOME_CAT","0","472758 (99.7)","472061 (99.6)"
"109","","1","1081 (0.2)","1840 (0.4)"
"110","","2","230 (0.0)","168 (0.0)"
"111","Q_LEARN_CAT","0","468641 (98.9)","468674 (98.9)"
"112","","1","5332 (1.1)","5173 (1.1)"
"113","","2","96 (0.0)","222 (0.0)"
"114","Q_DIAG_CKD_LEVEL","0","456012 (96.2)","456308 (96.3)"
"115","","3","17081 (3.6)","16609 (3.5)"
"116","","4","516 (0.1)","528 (0.1)"
"117","","5","460 (0.1)","624 (0.1)"
