"","label","levels","uv_az","vacc_az"
"46","ave_hh_age","Mean (SD)","51.8 (18.4)","51.7 (18.5)"
"47","n_hh_gp","1","317298 (33.8)","313783 (33.4)"
"48","","2","304337 (32.4)","304914 (32.5)"
"49","","3-5","296981 (31.6)","300032 (32.0)"
"50","","6-10","19364 (2.1)","19310 (2.1)"
"51","","11-30","791 (0.1)","784 (0.1)"
"52","","31-100","122 (0.0)","99 (0.0)"
"53","","101+","114 (0.0)","85 (0.0)"
"54","Q_DIAG_AF","0","907278 (96.6)","904620 (96.3)"
"55","","1","31729 (3.4)","34387 (3.7)"
"56","Q_DIAG_ASTHMA","0","797932 (85.0)","812248 (86.5)"
"57","","1","141075 (15.0)","126759 (13.5)"
"58","Q_DIAG_BLOOD_CANCER","0","934139 (99.5)","931449 (99.2)"
"59","","1","4868 (0.5)","7558 (0.8)"
"60","Q_DIAG_CCF","0","924650 (98.5)","923437 (98.3)"
"61","","1","14357 (1.5)","15570 (1.7)"
"62","Q_DIAG_CEREBRALPALSY","0","937897 (99.9)","936760 (99.8)"
"63","","1","1110 (0.1)","2247 (0.2)"
"64","Q_DIAG_CHD","0","882222 (94.0)","875756 (93.3)"
"65","","1","56785 (6.0)","63251 (6.7)"
"66","Q_DIAG_CIRRHOSIS","0","932512 (99.3)","932022 (99.3)"
"67","","1","6495 (0.7)","6985 (0.7)"
"68","Q_DIAG_CONGEN_HD","0","930436 (99.1)","926650 (98.7)"
"69","","1","8571 (0.9)","12357 (1.3)"
"70","Q_DIAG_COPD","0","906603 (96.5)","894337 (95.2)"
"71","","1","32404 (3.5)","44670 (4.8)"
"72","Q_DIAG_DEMENTIA","0","930200 (99.1)","931311 (99.2)"
"73","","1","8807 (0.9)","7696 (0.8)"
"74","Q_DIAG_DIABETES_1","0","935314 (99.6)","930917 (99.1)"
"75","","1","3693 (0.4)","8090 (0.9)"
"76","Q_DIAG_DIABETES_2","0","871267 (92.8)","857705 (91.3)"
"77","","1","67740 (7.2)","81302 (8.7)"
"78","Q_DIAG_EPILEPSY","0","921732 (98.2)","918077 (97.8)"
"79","","1","17275 (1.8)","20930 (2.2)"
"80","Q_DIAG_FRACTURE","0","883444 (94.1)","892865 (95.1)"
"81","","1","55563 (5.9)","46142 (4.9)"
"82","Q_DIAG_NEURO","0","935468 (99.6)","932338 (99.3)"
"83","","1","3539 (0.4)","6669 (0.7)"
"84","Q_DIAG_PARKINSONS","0","936305 (99.7)","936221 (99.7)"
"85","","1","2702 (0.3)","2786 (0.3)"
"86","Q_DIAG_PULM_HYPER","0","936592 (99.7)","935835 (99.7)"
"87","","1","2415 (0.3)","3172 (0.3)"
"88","Q_DIAG_PULM_RARE","0","933595 (99.4)","930764 (99.1)"
"89","","1","5412 (0.6)","8243 (0.9)"
"90","Q_DIAG_PVD","0","925767 (98.6)","925808 (98.6)"
"91","","1","13240 (1.4)","13199 (1.4)"
"92","Q_DIAG_RA_SLE","0","927467 (98.8)","923419 (98.3)"
"93","","1","11540 (1.2)","15588 (1.7)"
"94","Q_DIAG_RESP_CANCER","0","936078 (99.7)","935509 (99.6)"
"95","","1","2929 (0.3)","3498 (0.4)"
"96","Q_DIAG_SEV_MENT_ILL","0","786364 (83.7)","807927 (86.0)"
"97","","1","152643 (16.3)","131080 (14.0)"
"98","Q_DIAG_SICKLE_CELL","0","938422 (99.9)","938016 (99.9)"
"99","","1","585 (0.1)","991 (0.1)"
"100","Q_DIAG_STROKE","0","904619 (96.3)","901416 (96.0)"
"101","","1","34388 (3.7)","37591 (4.0)"
"102","Q_DIAG_VTE","0","917192 (97.7)","915191 (97.5)"
"103","","1","21815 (2.3)","23816 (2.5)"
"104","Q_HOME_CAT","0","936942 (99.8)","937138 (99.8)"
"105","","1","1151 (0.1)","1161 (0.1)"
"106","","2","914 (0.1)","708 (0.1)"
"107","Q_LEARN_CAT","0","922916 (98.3)","921418 (98.1)"
"108","","1","15971 (1.7)","16865 (1.8)"
"109","","2","120 (0.0)","724 (0.1)"
"110","Q_DIAG_CKD_LEVEL","0","890461 (94.8)","886501 (94.4)"
"111","","3","46003 (4.9)","48772 (5.2)"
"112","","4","1737 (0.2)","2091 (0.2)"
"113","","5","806 (0.1)","1643 (0.2)"
