"","label","levels","uv","vacc"
"66","Q_DIAG_CIRRHOSIS","0","1639899 (99.4)","1639636 (99.4)"
"67","","1","10286 (0.6)","10549 (0.6)"
"68","Q_DIAG_CONGEN_HD","0","1636296 (99.2)","1632178 (98.9)"
"69","","1","13889 (0.8)","18007 (1.1)"
"70","Q_DIAG_COPD","0","1596617 (96.8)","1587820 (96.2)"
"71","","1","53568 (3.2)","62365 (3.8)"
"72","Q_DIAG_DEMENTIA","0","1638512 (99.3)","1638458 (99.3)"
"73","","1","11673 (0.7)","11727 (0.7)"
"74","Q_DIAG_DIABETES_1","0","1643568 (99.6)","1638822 (99.3)"
"75","","1","6617 (0.4)","11363 (0.7)"
"76","Q_DIAG_DIABETES_2","0","1542034 (93.4)","1528314 (92.6)"
"77","","1","108151 (6.6)","121871 (7.4)"
"78","Q_DIAG_EPILEPSY","0","1623885 (98.4)","1622243 (98.3)"
"79","","1","26300 (1.6)","27942 (1.7)"
"80","Q_DIAG_FRACTURE","0","1564629 (94.8)","1574989 (95.4)"
"81","","1","85556 (5.2)","75196 (4.6)"
"82","Q_DIAG_NEURO","0","1643841 (99.6)","1640983 (99.4)"
"83","","1","6344 (0.4)","9202 (0.6)"
"84","Q_DIAG_PARKINSONS","0","1646145 (99.8)","1646163 (99.8)"
"85","","1","4040 (0.2)","4022 (0.2)"
"86","Q_DIAG_PULM_HYPER","0","1646612 (99.8)","1646237 (99.8)"
"87","","1","3573 (0.2)","3948 (0.2)"
"88","Q_DIAG_PULM_RARE","0","1641338 (99.5)","1638959 (99.3)"
"89","","1","8847 (0.5)","11226 (0.7)"
"90","Q_DIAG_PVD","0","1630367 (98.8)","1630935 (98.8)"
"91","","1","19818 (1.2)","19250 (1.2)"
"92","Q_DIAG_RA_SLE","0","1631167 (98.8)","1627542 (98.6)"
"93","","1","19018 (1.2)","22643 (1.4)"
"94","Q_DIAG_RESP_CANCER","0","1645649 (99.7)","1645394 (99.7)"
"95","","1","4536 (0.3)","4791 (0.3)"
"96","Q_DIAG_SEV_MENT_ILL","0","1409882 (85.4)","1435033 (87.0)"
"97","","1","240303 (14.6)","215152 (13.0)"
"98","Q_DIAG_SICKLE_CELL","0","1649159 (99.9)","1648710 (99.9)"
"99","","1","1026 (0.1)","1475 (0.1)"
"100","Q_DIAG_STROKE","0","1598590 (96.9)","1596457 (96.7)"
"101","","1","51595 (3.1)","53728 (3.3)"
"102","Q_DIAG_VTE","0","1617436 (98.0)","1617108 (98.0)"
"103","","1","32749 (2.0)","33077 (2.0)"
"104","Q_HOME_CAT","0","1646826 (99.8)","1645350 (99.7)"
"105","","1","2010 (0.1)","3815 (0.2)"
"106","","2","1349 (0.1)","1020 (0.1)"
"107","Q_LEARN_CAT","0","1623562 (98.4)","1623949 (98.4)"
"108","","1","26315 (1.6)","25297 (1.5)"
"109","","2","308 (0.0)","939 (0.1)"
"110","Q_DIAG_CKD_LEVEL","0","1580623 (95.8)","1577141 (95.6)"
"111","","3","65616 (4.0)","67950 (4.1)"
"112","","4","2496 (0.2)","2741 (0.2)"
"113","","5","1450 (0.1)","2353 (0.1)"
