"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"","Unknown","16,029 (1.9%)","2,259 (0.7%)","8,232 (0.5%)","4,516 (0.8%)","4,402 (0.5%)"
"n_risk_gps","0","624,911 (75.9%)","212,410 (66.9%)","799,570 (47.0%)","432,540 (74.6%)","453,079 (52.4%)"
"","1","149,875 (18.2%)","76,134 (24.0%)","505,125 (29.7%)","126,668 (21.8%)","250,841 (29.0%)"
"","2","33,366 (4.1%)","19,062 (6.0%)","230,070 (13.5%)","17,399 (3.0%)","100,407 (11.6%)"
"","3","8,878 (1.1%)","5,648 (1.8%)","97,190 (5.7%)","2,069 (0.4%)","37,794 (4.4%)"
"","4","3,330 (0.4%)","2,420 (0.8%)","41,443 (2.4%)","600 (0.1%)","14,309 (1.7%)"
"","5+","2,515 (0.3%)","1,744 (0.5%)","26,672 (1.6%)","442 (0.1%)","8,052 (0.9%)"
"n_tests_gp","0","698,800 (84.9%)","261,076 (82.2%)","1,418,251 (83.4%)","463,390 (79.9%)","643,020 (74.4%)"
"","1","87,888 (10.7%)","42,333 (13.3%)","197,928 (11.6%)","90,477 (15.6%)","118,433 (13.7%)"
"","2","18,373 (2.2%)","8,149 (2.6%)","44,872 (2.6%)","16,930 (2.9%)","31,388 (3.6%)"
"","3","5,123 (0.6%)","2,117 (0.7%)","14,538 (0.9%)","3,810 (0.7%)","11,093 (1.3%)"
"","4-9","7,087 (0.9%)","2,497 (0.8%)","17,441 (1.0%)","3,014 (0.5%)","22,047 (2.6%)"
"","10+","5,604 (0.7%)","1,246 (0.4%)","7,040 (0.4%)","2,097 (0.4%)","38,501 (4.5%)"
"test_before_dec8","0-6d","764 (0.1%)","334 (0.1%)","1,308 (0.1%)","636 (0.1%)","1,280 (0.1%)"
"","1m+","6,135 (0.7%)","3,012 (0.9%)","15,445 (0.9%)","6,079 (1.0%)","16,461 (1.9%)"
"","2w","713 (0.1%)","320 (0.1%)","1,304 (0.1%)","611 (0.1%)","1,209 (0.1%)"
"","3w","839 (0.1%)","363 (0.1%)","1,557 (0.1%)","758 (0.1%)","1,393 (0.2%)"
"","4w","861 (0.1%)","433 (0.1%)","1,730 (0.1%)","753 (0.1%)","1,573 (0.2%)"
"","after-8dec","29,605 (3.6%)","11,527 (3.6%)","33,235 (2.0%)","19,734 (3.4%)","19,365 (2.2%)"
"","no pos test","783,958 (95.3%)","301,429 (95.0%)","1,645,491 (96.8%)","551,147 (95.1%)","823,201 (95.2%)"
"ave_hh_age","mean.sd","35.8 (15.8)","38.6 (14.5)","54.9 (17.8)","31.3 (10.5)","51.9 (18.2)"
"","median.iqr","32 (17.95)","37.5 (18.75)","56 (27)","30 (13.6666666666667)","54 (31.5)"
"n_hh_gp","1","301,184 (36.6%)","86,963 (27.4%)","594,660 (35.0%)","139,155 (24.0%)","271,417 (31.4%)"
"","2","180,398 (21.9%)","69,284 (21.8%)","590,885 (34.8%)","133,185 (23.0%)","309,554 (35.8%)"
"","3-5","287,407 (34.9%)","148,709 (46.8%)","484,254 (28.5%)","283,716 (48.9%)","265,521 (30.7%)"
"","6-10","43,915 (5.3%)","11,747 (3.7%)","28,867 (1.7%)","22,475 (3.9%)","16,913 (2.0%)"
"","11-30","4,565 (0.6%)","458 (0.1%)","1,193 (0.1%)","851 (0.1%)","842 (0.1%)"
"","31-100","1,288 (0.2%)","111 (0.0%)","140 (0.0%)","132 (0.0%)","209 (0.0%)"
"","101+","4,118 (0.5%)","146 (0.0%)","71 (0.0%)","204 (0.0%)","26 (0.0%)"
"bmi_cat","Underweight","13,619 (1.7%)","2,835 (0.9%)","16,520 (1.0%)","7,086 (1.2%)","6,942 (0.8%)"
"","Normal weight","103,257 (12.5%)","34,307 (10.8%)","208,072 (12.2%)","83,318 (14.4%)","107,575 (12.4%)"
"","Overweight","647,884 (78.7%)","239,780 (75.5%)","1,082,151 (63.7%)","436,414 (75.3%)","553,620 (64.0%)"
"","Obese","58,115 (7.1%)","40,496 (12.8%)","393,327 (23.1%)","52,900 (9.1%)","196,345 (22.7%)"
"EAVE_Smoke","Ex Smoker","55,027 (6.7%)","38,211 (12.0%)","291,770 (17.2%)","42,581 (7.3%)","140,865 (16.3%)"
"","Non Smoker","279,551 (34.0%)","113,784 (35.8%)","659,033 (38.8%)","248,687 (42.9%)","346,487 (40.1%)"
"","Smoker","134,491 (16.3%)","78,403 (24.7%)","411,663 (24.2%)","83,097 (14.3%)","199,034 (23.0%)"
"","Unknown","353,806 (43.0%)","87,020 (27.4%)","337,604 (19.9%)","205,353 (35.4%)","178,096 (20.6%)"
"Q_DIAG_AF","0","818,057 (99.4%)","314,346 (99.0%)","1,629,298 (95.8%)","579,055 (99.9%)","838,141 (97.0%)"
"","1","4,819 (0.6%)","3,072 (1.0%)","70,772 (4.2%)","663 (0.1%)","26,341 (3.0%)"
"Q_DIAG_ASTHMA","0","736,292 (89.5%)","277,409 (87.4%)","1,463,443 (86.1%)","494,964 (85.4%)","750,517 (86.8%)"
"","1","86,583 (10.5%)","40,009 (12.6%)","236,627 (13.9%)","84,754 (14.6%)","113,965 (13.2%)"
"Q_DIAG_BLOOD_CANCER","0","821,557 (99.8%)","316,753 (99.8%)","1,685,780 (99.2%)","579,482 (100.0%)","859,188 (99.4%)"
"","1","1,318 (0.2%)","665 (0.2%)","14,290 (0.8%)","236 (0.0%)","5,294 (0.6%)"
"Q_DIAG_CCF","0","820,167 (99.7%)","315,638 (99.4%)","1,668,179 (98.1%)","579,333 (99.9%)","853,498 (98.7%)"
"","1","2,708 (0.3%)","1,780 (0.6%)","31,891 (1.9%)","385 (0.1%)","10,984 (1.3%)"
"Q_DIAG_CEREBRALPALSY","0","822,463 (99.9%)","317,200 (99.9%)","1,695,837 (99.8%)","579,607 (100.0%)","863,476 (99.9%)"
"","1","412 (0.1%)","218 (0.1%)","4,233 (0.2%)","111 (0.0%)","1,006 (0.1%)"
"Q_DIAG_CHD","0","813,820 (98.9%)","311,741 (98.2%)","1,570,960 (92.4%)","578,425 (99.8%)","808,080 (93.5%)"
"","1","9,055 (1.1%)","5,677 (1.8%)","129,110 (7.6%)","1,293 (0.2%)","56,402 (6.5%)"
"Q_DIAG_CIRRHOSIS","0","821,093 (99.8%)","316,062 (99.6%)","1,686,369 (99.2%)","578,954 (99.9%)","858,483 (99.3%)"
"","1","1,782 (0.2%)","1,356 (0.4%)","13,701 (0.8%)","764 (0.1%)","5,999 (0.7%)"
"Q_DIAG_CONGEN_HD","0","820,270 (99.7%)","316,289 (99.6%)","1,676,490 (98.6%)","579,099 (99.9%)","854,479 (98.8%)"
"","1","2,605 (0.3%)","1,129 (0.4%)","23,580 (1.4%)","619 (0.1%)","10,003 (1.2%)"
"Q_DIAG_COPD","0","815,556 (99.1%)","312,300 (98.4%)","1,613,127 (94.9%)","578,641 (99.8%)","831,580 (96.2%)"
"","1","7,319 (0.9%)","5,118 (1.6%)","86,943 (5.1%)","1,077 (0.2%)","32,902 (3.8%)"
"Q_DIAG_DEMENTIA","0","821,019 (99.8%)","316,312 (99.7%)","1,683,386 (99.0%)","579,197 (99.9%)","857,483 (99.2%)"
"","1","1,856 (0.2%)","1,106 (0.3%)","16,684 (1.0%)","521 (0.1%)","6,999 (0.8%)"
"Q_DIAG_DIABETES_1","0","821,300 (99.8%)","316,800 (99.8%)","1,685,628 (99.2%)","579,466 (100.0%)","859,004 (99.4%)"
"","1","1,575 (0.2%)","618 (0.2%)","14,442 (0.8%)","252 (0.0%)","5,478 (0.6%)"
"Q_DIAG_DIABETES_2","0","810,609 (98.5%)","310,356 (97.8%)","1,536,728 (90.4%)","577,879 (99.7%)","788,459 (91.2%)"
"","1","12,266 (1.5%)","7,062 (2.2%)","163,342 (9.6%)","1,839 (0.3%)","76,023 (8.8%)"
"Q_DIAG_EPILEPSY","0","816,463 (99.2%)","313,712 (98.8%)","1,659,282 (97.6%)","578,490 (99.8%)","852,415 (98.6%)"
"","1","6,412 (0.8%)","3,706 (1.2%)","40,788 (2.4%)","1,228 (0.2%)","12,067 (1.4%)"
"Q_DIAG_FRACTURE","0","799,600 (97.2%)","305,565 (96.3%)","1,606,281 (94.5%)","560,846 (96.7%)","824,341 (95.4%)"
"","1","23,275 (2.8%)","11,853 (3.7%)","93,789 (5.5%)","18,872 (3.3%)","40,141 (4.6%)"
"Q_DIAG_NEURO","0","821,906 (99.9%)","316,875 (99.8%)","1,687,814 (99.3%)","579,582 (100.0%)","860,206 (99.5%)"
"","1","969 (0.1%)","543 (0.2%)","12,256 (0.7%)","136 (0.0%)","4,276 (0.5%)"
"Q_DIAG_PARKINSONS","0","822,446 (99.9%)","317,164 (99.9%)","1,694,166 (99.7%)","579,638 (100.0%)","862,132 (99.7%)"
"","1","429 (0.1%)","254 (0.1%)","5,904 (0.3%)","80 (0.0%)","2,350 (0.3%)"
"Q_DIAG_PULM_HYPER","0","822,292 (99.9%)","317,027 (99.9%)","1,693,858 (99.6%)","579,658 (100.0%)","862,924 (99.8%)"
"","1","583 (0.1%)","391 (0.1%)","6,212 (0.4%)","60 (0.0%)","1,558 (0.2%)"
"Q_DIAG_PULM_RARE","0","821,835 (99.9%)","316,755 (99.8%)","1,684,463 (99.1%)","579,564 (100.0%)","858,905 (99.4%)"
"","1","1,040 (0.1%)","663 (0.2%)","15,607 (0.9%)","154 (0.0%)","5,577 (0.6%)"
"Q_DIAG_PVD","0","820,412 (99.7%)","315,828 (99.5%)","1,672,294 (98.4%)","579,239 (99.9%)","852,952 (98.7%)"
"","1","2,463 (0.3%)","1,590 (0.5%)","27,776 (1.6%)","479 (0.1%)","11,530 (1.3%)"
"Q_DIAG_RA_SLE","0","820,395 (99.7%)","316,076 (99.6%)","1,669,683 (98.2%)","579,277 (99.9%)","852,001 (98.6%)"
"","1","2,480 (0.3%)","1,342 (0.4%)","30,387 (1.8%)","441 (0.1%)","12,481 (1.4%)"
"Q_DIAG_RESP_CANCER","0","821,959 (99.9%)","316,844 (99.8%)","1,693,224 (99.6%)","579,564 (100.0%)","862,103 (99.7%)"
"","1","917 (0.1%)","574 (0.2%)","6,846 (0.4%)","154 (0.0%)","2,379 (0.3%)"
"Q_DIAG_SEV_MENT_ILL","0","755,346 (91.8%)","272,199 (85.8%)","1,447,449 (85.1%)","533,379 (92.0%)","744,051 (86.1%)"
"","1","67,529 (8.2%)","45,219 (14.2%)","252,621 (14.9%)","46,339 (8.0%)","120,431 (13.9%)"
"Q_DIAG_SICKLE_CELL","0","822,619 (100.0%)","317,294 (100.0%)","1,698,231 (99.9%)","579,651 (100.0%)","863,727 (99.9%)"
"","1","256 (0.0%)","124 (0.0%)","1,839 (0.1%)","67 (0.0%)","755 (0.1%)"
"Q_DIAG_STROKE","0","817,069 (99.3%)","313,688 (98.8%)","1,622,706 (95.4%)","578,812 (99.8%)","833,769 (96.4%)"
"","1","5,806 (0.7%)","3,730 (1.2%)","77,364 (4.6%)","906 (0.2%)","30,713 (3.6%)"
"Q_DIAG_VTE","0","816,986 (99.3%)","313,955 (98.9%)","1,651,750 (97.2%)","578,781 (99.8%)","847,395 (98.0%)"
"","1","5,889 (0.7%)","3,463 (1.1%)","48,320 (2.8%)","937 (0.2%)","17,087 (2.0%)"
"Q_HOME_CAT","0","820,686 (99.7%)","316,662 (99.8%)","1,696,558 (99.8%)","578,965 (99.9%)","859,873 (99.5%)"
"","1","711 (0.1%)","239 (0.1%)","2,346 (0.1%)","392 (0.1%)","4,286 (0.5%)"
"","2","1,478 (0.2%)","517 (0.2%)","1,166 (0.1%)","361 (0.1%)","323 (0.0%)"
"Q_LEARN_CAT","0","811,050 (98.6%)","313,402 (98.7%)","1,666,367 (98.0%)","571,224 (98.5%)","854,803 (98.9%)"
"","1","11,747 (1.4%)","3,974 (1.3%)","32,522 (1.9%)","8,485 (1.5%)","9,325 (1.1%)"
"","2","78 (0.0%)","42 (0.0%)","1,181 (0.1%)","9 (0.0%)","354 (0.0%)"
"Q_DIAG_CKD_LEVEL","0","816,467 (99.2%)","312,788 (98.5%)","1,592,449 (93.7%)","578,721 (99.8%)","825,204 (95.5%)"
"","3","5,693 (0.7%)","4,209 (1.3%)","100,487 (5.9%)","886 (0.2%)","36,924 (4.3%)"
"","4","418 (0.1%)","268 (0.1%)","4,145 (0.2%)","58 (0.0%)","1,167 (0.1%)"
"","5","297 (0.0%)","153 (0.0%)","2,989 (0.2%)","53 (0.0%)","1,187 (0.1%)"
