"","characteristic","levels","0","1","AZ","PB","NA"
"17","Q_DIAG_CHD","0","1820987 (99.1%)","2382445 (92.6%)","1601542 (92.5%)","780903 (92.8%)","1820987 (99.1%)"
"18","Q_DIAG_CHD","1","16186 (0.9%)","190131 (7.4%)","129721 (7.5%)","60409 (7.2%)","16186 (0.9%)"
"19","Q_DIAG_CIRRHOSIS","0","1833538 (99.8%)","2552270 (99.2%)","1717196 (99.2%)","835074 (99.3%)","1833538 (99.8%)"
"20","Q_DIAG_CIRRHOSIS","1","3635 (0.2%)","20306 (0.8%)","14067 (0.8%)","6239 (0.7%)","3635 (0.2%)"
"21","Q_DIAG_CONGEN_HD","0","1832961 (99.8%)","2538330 (98.7%)","1707293 (98.6%)","831037 (98.8%)","1832961 (99.8%)"
"22","Q_DIAG_CONGEN_HD","1","4213 (0.2%)","34246 (1.3%)","23971 (1.4%)","10276 (1.2%)","4213 (0.2%)"
"23","Q_DIAG_COPD","0","1823925 (99.3%)","2450107 (95.2%)","1643819 (94.9%)","806288 (95.8%)","1823925 (99.3%)"
"24","Q_DIAG_COPD","1","13249 (0.7%)","122469 (4.8%)","87444 (5.1%)","35025 (4.2%)","13249 (0.7%)"
"25","Q_DIAG_DEMENTIA","0","1833384 (99.8%)","2537935 (98.7%)","1713951 (99.0%)","823984 (97.9%)","1833384 (99.8%)"
"26","Q_DIAG_DEMENTIA","1","3790 (0.2%)","34641 (1.3%)","17312 (1.0%)","17329 (2.1%)","3790 (0.2%)"
"27","Q_DIAG_DIABETES_1","0","1834821 (99.9%)","2552245 (99.2%)","1716516 (99.1%)","835730 (99.3%)","1834821 (99.9%)"
"28","Q_DIAG_DIABETES_1","1","2352 (0.1%)","20331 (0.8%)","14748 (0.9%)","5583 (0.7%)","2352 (0.1%)"
"29","Q_DIAG_DIABETES_2","0","1815928 (98.8%)","2328518 (90.5%)","1566856 (90.5%)","761662 (90.5%)","1815928 (98.8%)"
"30","Q_DIAG_DIABETES_2","1","21245 (1.2%)","244058 (9.5%)","164407 (9.5%)","79650 (9.5%)","21245 (1.2%)"
"31","Q_DIAG_EPILEPSY","0","1827136 (99.5%)","2516714 (97.8%)","1688437 (97.5%)","828277 (98.5%)","1827136 (99.5%)"
"32","Q_DIAG_EPILEPSY","1","10038 (0.5%)","55862 (2.2%)","42826 (2.5%)","13036 (1.5%)","10038 (0.5%)"
"33","Q_DIAG_FRACTURE","0","1782500 (97.0%)","2433296 (94.6%)","1635655 (94.5%)","797641 (94.8%)","1782500 (97.0%)"
"34","Q_DIAG_FRACTURE","1","54674 (3.0%)","139280 (5.4%)","95609 (5.5%)","43672 (5.2%)","54674 (3.0%)"
"35","Q_DIAG_NEURO","0","1835416 (99.9%)","2555674 (99.3%)","1718930 (99.3%)","836744 (99.5%)","1835416 (99.9%)"
"36","Q_DIAG_NEURO","1","1758 (0.1%)","16902 (0.7%)","12333 (0.7%)","4569 (0.5%)","1758 (0.1%)"
"37","Q_DIAG_PARKINSONS","0","1836370 (100.0%)","2563575 (99.7%)","1725355 (99.7%)","838221 (99.6%)","1836370 (100.0%)"
"38","Q_DIAG_PARKINSONS","1","803 (0.0%)","9001 (0.3%)","5909 (0.3%)","3092 (0.4%)","803 (0.0%)"
"39","Q_DIAG_PULM_HYPER","0","1836215 (99.9%)","2564566 (99.7%)","1724979 (99.6%)","839587 (99.8%)","1836215 (99.9%)"
"40","Q_DIAG_PULM_HYPER","1","959 (0.1%)","8010 (0.3%)","6284 (0.4%)","1726 (0.2%)","959 (0.1%)"
"41","Q_DIAG_PULM_RARE","0","1835189 (99.9%)","2551198 (99.2%)","1715730 (99.1%)","835468 (99.3%)","1835189 (99.9%)"
"42","Q_DIAG_PULM_RARE","1","1985 (0.1%)","21378 (0.8%)","15533 (0.9%)","5845 (0.7%)","1985 (0.1%)"
"43","Q_DIAG_PVD","0","1832926 (99.8%)","2531967 (98.4%)","1703121 (98.4%)","828846 (98.5%)","1832926 (99.8%)"
"44","Q_DIAG_PVD","1","4248 (0.2%)","40609 (1.6%)","28143 (1.6%)","12467 (1.5%)","4248 (0.2%)"
"45","Q_DIAG_RA_SLE","0","1832807 (99.8%)","2529109 (98.3%)","1700742 (98.2%)","828367 (98.5%)","1832807 (99.8%)"
"46","Q_DIAG_RA_SLE","1","4366 (0.2%)","43467 (1.7%)","30521 (1.8%)","12946 (1.5%)","4366 (0.2%)"
"47","Q_DIAG_RESP_CANCER","0","1835748 (99.9%)","2562957 (99.6%)","1724210 (99.6%)","838747 (99.7%)","1835748 (99.9%)"
"48","Q_DIAG_RESP_CANCER","1","1426 (0.1%)","9619 (0.4%)","7053 (0.4%)","2566 (0.3%)","1426 (0.1%)"
"49","Q_DIAG_SEV_MENT_ILL","0","1679064 (91.4%)","2189843 (85.1%)","1469048 (84.9%)","720796 (85.7%)","1679064 (91.4%)"
"50","Q_DIAG_SEV_MENT_ILL","1","158110 (8.6%)","382733 (14.9%)","262216 (15.1%)","120517 (14.3%)","158110 (8.6%)"
"51","Q_DIAG_SICKLE_CELL","0","1836719 (100.0%)","2569956 (99.9%)","1729401 (99.9%)","840555 (99.9%)","1836719 (100.0%)"
"52","Q_DIAG_SICKLE_CELL","1","454 (0.0%)","2620 (0.1%)","1862 (0.1%)","758 (0.1%)","454 (0.0%)"
"53","Q_DIAG_STROKE","0","1826770 (99.4%)","2459114 (95.6%)","1653281 (95.5%)","805833 (95.8%)","1826770 (99.4%)"
"54","Q_DIAG_STROKE","1","10404 (0.6%)","113462 (4.4%)","77983 (4.5%)","35479 (4.2%)","10404 (0.6%)"
"55","Q_DIAG_VTE","0","1827669 (99.5%)","2504166 (97.3%)","1681509 (97.1%)","822657 (97.8%)","1827669 (99.5%)"
"56","Q_DIAG_VTE","1","9505 (0.5%)","68410 (2.7%)","49755 (2.9%)","18656 (2.2%)","9505 (0.5%)"
"57","Q_HOME_CAT","0","1832455 (99.7%)","2551500 (99.2%)","1727119 (99.8%)","824380 (98.0%)","1832455 (99.7%)"
"58","Q_HOME_CAT","1","2373 (0.1%)","19364 (0.8%)","2778 (0.2%)","16586 (2.0%)","2373 (0.1%)"
"59","Q_HOME_CAT","2","2345 (0.1%)","1712 (0.1%)","1366 (0.1%)","346 (0.0%)","2345 (0.1%)"
"60","Q_LEARN_CAT","0","1813209 (98.7%)","2527438 (98.2%)","1696277 (98.0%)","831161 (98.8%)","1813209 (98.7%)"
"61","Q_LEARN_CAT","1","23788 (1.3%)","43612 (1.7%)","33851 (2.0%)","9761 (1.2%)","23788 (1.3%)"
"62","Q_LEARN_CAT","2","177 (0.0%)","1526 (0.1%)","1135 (0.1%)","391 (0.0%)","177 (0.0%)"
"63","Q_DIAG_CKD_LEVEL","0","1825171 (99.3%)","2420449 (94.1%)","1623315 (93.8%)","797134 (94.7%)","1825171 (99.3%)"
"64","Q_DIAG_CKD_LEVEL","3","10779 (0.6%)","142297 (5.5%)","100780 (5.8%)","41517 (4.9%)","10779 (0.6%)"
"65","Q_DIAG_CKD_LEVEL","4","703 (0.0%)","5583 (0.2%)","4193 (0.2%)","1390 (0.2%)","703 (0.0%)"
"66","Q_DIAG_CKD_LEVEL","5","521 (0.0%)","4248 (0.2%)","2976 (0.2%)","1272 (0.2%)","521 (0.0%)"
